date,base_currency,target_currency,rate,_fivetran_synced
2025-04-22,GBP,EUR,1.1515,2025-04-22T12:45:00Z
2025-04-22,GBP,CAD,1.7346,2025-04-22T03:00:00Z
2025-04-22,GBP,AUD,1.9224,2025-04-22T01:43:00Z
2025-04-23,GBP,USD,1.2839,2025-04-23T02:21:00Z
2025-04-23,GBP,EUR,1.1687,2025-04-23T01:06:00Z
2025-04-23,GBP,CAD,1.7208,2025-04-23T21:47:00Z
2025-04-23,GBP,AUD,1.9225,2025-04-23T18:48:00Z
2025-04-24,GBP,USD,1.2625,2025-04-24T06:20:00Z
2025-04-24,GBP,EUR,1.158,2025-04-24T09:17:00Z
2025-04-24,GBP,CAD,1.7213,2025-04-24T14:42:00Z
2025-04-24,GBP,AUD,1.9147,2025-04-24T04:10:00Z
2025-04-25,GBP,USD,1.2609,2025-04-25T00:39:00Z
2025-04-25,GBP,EUR,1.1724,2025-04-25T03:13:00Z
2025-04-25,GBP,CAD,1.7217,2025-04-25T17:20:00Z
2025-04-25,GBP,AUD,1.9208,2025-04-25T22:51:00Z
2025-04-26,GBP,USD,1.2613,2025-04-26T07:10:00Z
2025-04-26,GBP,EUR,1.1528,2025-04-26T19:57:00Z
2025-04-26,GBP,CAD,1.7135,2025-04-26T14:03:00Z
2025-04-26,GBP,AUD,1.9152,2025-04-26T15:57:00Z
2025-04-27,GBP,USD,1.277,2025-04-27T03:24:00Z
2025-04-27,GBP,EUR,1.1522,2025-04-27T13:25:00Z
2025-04-27,GBP,CAD,1.7072,2025-04-27T19:57:00Z
2025-04-27,GBP,AUD,1.9337,2025-04-27T22:44:00Z
2025-04-28,GBP,USD,1.2678,2025-04-28T11:19:00Z
2025-04-28,GBP,EUR,1.1633,2025-04-28T06:45:00Z
2025-04-28,GBP,CAD,1.7303,2025-04-28T17:05:00Z
2025-04-28,GBP,AUD,1.9489,2025-04-28T14:36:00Z
2025-04-29,GBP,USD,1.2553,2025-04-29T22:29:00Z
2025-04-29,GBP,EUR,1.1539,2025-04-29T09:43:00Z
2025-04-29,GBP,CAD,1.7258,2025-04-29T14:30:00Z
2025-04-29,GBP,AUD,1.9193,2025-04-29T07:09:00Z
2025-04-30,GBP,USD,1.2844,2025-04-30T19:16:00Z
2025-04-30,GBP,EUR,1.1865,2025-04-30T12:11:00Z
2025-04-30,GBP,CAD,1.728,2025-04-30T21:21:00Z
2025-04-30,GBP,AUD,1.9416,2025-04-30T10:29:00Z
2025-05-01,GBP,USD,1.2695,2025-05-01T02:30:00Z
2025-05-01,GBP,EUR,1.1545,2025-05-01T15:29:00Z
2025-05-01,GBP,CAD,1.7338,2025-05-01T09:49:00Z
2025-05-01,GBP,AUD,1.9239,2025-05-01T18:08:00Z
2025-05-02,GBP,USD,1.2703,2025-05-02T12:52:00Z
2025-05-02,GBP,EUR,1.1786,2025-05-02T03:20:00Z
2025-05-02,GBP,CAD,1.7222,2025-05-02T02:50:00Z
2025-05-02,GBP,AUD,1.9221,2025-05-02T14:25:00Z
2025-05-03,GBP,USD,1.2736,2025-05-03T07:39:00Z
2025-05-03,GBP,EUR,1.1597,2025-05-03T05:30:00Z
2025-05-03,GBP,CAD,1.7154,2025-05-03T10:13:00Z
2025-05-03,GBP,AUD,1.9426,2025-05-03T18:27:00Z
2025-05-04,GBP,USD,1.2814,2025-05-04T13:36:00Z
2025-05-04,GBP,EUR,1.1815,2025-05-04T17:44:00Z
2025-05-04,GBP,CAD,1.7094,2025-05-04T21:42:00Z
2025-05-04,GBP,AUD,1.9131,2025-05-04T22:36:00Z
2025-05-05,GBP,USD,1.2835,2025-05-05T03:37:00Z
2025-05-05,GBP,EUR,1.1738,2025-05-05T10:35:00Z
2025-05-05,GBP,CAD,1.7039,2025-05-05T14:11:00Z
2025-05-05,GBP,AUD,1.9223,2025-05-05T12:04:00Z
2025-05-06,GBP,USD,1.2739,2025-05-06T21:52:00Z
2025-05-06,GBP,EUR,1.1739,2025-05-06T12:20:00Z
2025-05-06,GBP,CAD,1.7198,2025-05-06T21:03:00Z
2025-05-06,GBP,AUD,1.9136,2025-05-06T04:56:00Z
2025-05-07,GBP,USD,1.2732,2025-05-07T20:51:00Z
2025-05-07,GBP,EUR,1.15,2025-05-07T04:42:00Z
2025-05-07,GBP,CAD,1.706,2025-05-07T17:18:00Z
2025-05-07,GBP,AUD,1.9256,2025-05-07T18:28:00Z
2025-05-08,GBP,USD,1.2578,2025-05-08T21:56:00Z
2025-05-08,GBP,EUR,1.1627,2025-05-08T18:50:00Z
2025-05-08,GBP,CAD,1.7365,2025-05-08T09:58:00Z
2025-05-08,GBP,AUD,1.9477,2025-05-08T13:45:00Z
2025-05-09,GBP,USD,1.2893,2025-05-09T11:05:00Z
2025-05-09,GBP,EUR,1.1733,2025-05-09T19:32:00Z
2025-05-09,GBP,CAD,1.7162,2025-05-09T04:54:00Z
2025-05-09,GBP,AUD,1.9218,2025-05-09T11:57:00Z
2025-05-10,GBP,USD,1.272,2025-05-10T01:00:00Z
2025-05-10,GBP,EUR,1.1781,2025-05-10T11:07:00Z
2025-05-10,GBP,CAD,1.7344,2025-05-10T00:15:00Z
2025-05-10,GBP,AUD,1.9273,2025-05-10T18:25:00Z
2025-05-11,GBP,USD,1.275,2025-05-11T22:24:00Z
2025-05-11,GBP,EUR,1.1662,2025-05-11T13:34:00Z
2025-05-11,GBP,CAD,1.7084,2025-05-11T05:30:00Z
2025-05-11,GBP,AUD,1.9156,2025-05-11T17:24:00Z
2025-05-12,GBP,USD,1.2837,2025-05-12T11:53:00Z
2025-05-12,GBP,EUR,1.1667,2025-05-12T09:55:00Z
2025-05-12,GBP,CAD,1.7268,2025-05-12T04:00:00Z
2025-05-12,GBP,AUD,1.9129,2025-05-12T00:09:00Z
2025-05-13,GBP,USD,1.2789,2025-05-13T15:42:00Z
2025-05-13,GBP,EUR,1.1675,2025-05-13T04:05:00Z
2025-05-13,GBP,CAD,1.7055,2025-05-13T13:55:00Z
2025-05-13,GBP,AUD,1.9282,2025-05-13T22:38:00Z
2025-05-14,GBP,USD,1.2872,2025-05-14T19:11:00Z
2025-05-14,GBP,EUR,1.1682,2025-05-14T13:35:00Z
2025-05-14,GBP,CAD,1.7328,2025-05-14T12:22:00Z
2025-05-14,GBP,AUD,1.919,2025-05-14T13:38:00Z
2025-05-15,GBP,USD,1.2503,2025-05-15T15:54:00Z
2025-05-15,GBP,EUR,1.1792,2025-05-15T22:32:00Z
2025-05-15,GBP,CAD,1.7108,2025-05-15T17:36:00Z
2025-05-15,GBP,AUD,1.9247,2025-05-15T01:36:00Z
2025-05-16,GBP,USD,1.2693,2025-05-16T11:07:00Z
2025-05-16,GBP,EUR,1.1732,2025-05-16T22:05:00Z
2025-05-16,GBP,CAD,1.7057,2025-05-16T23:33:00Z
2025-05-16,GBP,AUD,1.9493,2025-05-16T08:29:00Z
2025-05-17,GBP,USD,1.2707,2025-05-17T16:56:00Z
2025-05-17,GBP,EUR,1.1744,2025-05-17T07:30:00Z
2025-05-17,GBP,CAD,1.7252,2025-05-17T21:42:00Z
2025-05-17,GBP,AUD,1.9131,2025-05-17T20:34:00Z
2025-05-18,GBP,USD,1.2819,2025-05-18T09:39:00Z
2025-05-18,GBP,EUR,1.1521,2025-05-18T10:34:00Z
2025-05-18,GBP,CAD,1.7311,2025-05-18T15:29:00Z
2025-05-18,GBP,AUD,1.9305,2025-05-18T15:36:00Z
2025-05-19,GBP,USD,1.2794,2025-05-19T13:22:00Z
2025-05-19,GBP,EUR,1.1884,2025-05-19T09:18:00Z
2025-05-19,GBP,CAD,1.7067,2025-05-19T22:59:00Z
2025-05-19,GBP,AUD,1.9339,2025-05-19T09:46:00Z
2025-05-20,GBP,USD,1.2814,2025-05-20T08:03:00Z
2025-05-20,GBP,EUR,1.1752,2025-05-20T18:10:00Z
2025-05-20,GBP,CAD,1.7229,2025-05-20T21:18:00Z
2025-05-20,GBP,AUD,1.9424,2025-05-20T19:01:00Z
2025-05-21,GBP,USD,1.2615,2025-05-21T02:08:00Z
2025-05-21,GBP,EUR,1.1702,2025-05-21T08:16:00Z
2025-05-21,GBP,CAD,1.7053,2025-05-21T08:17:00Z
2025-05-21,GBP,AUD,1.9443,2025-05-21T00:47:00Z
2025-05-22,GBP,USD,1.2545,2025-05-22T05:58:00Z
2025-05-22,GBP,EUR,1.1737,2025-05-22T04:42:00Z
2025-05-22,GBP,CAD,1.7179,2025-05-22T05:16:00Z
2025-05-22,GBP,AUD,1.9413,2025-05-22T07:31:00Z
2025-05-23,GBP,USD,1.2572,2025-05-23T16:55:00Z
2025-05-23,GBP,EUR,1.1513,2025-05-23T02:09:00Z
2025-05-23,GBP,CAD,1.7238,2025-05-23T04:53:00Z
2025-05-23,GBP,AUD,1.9298,2025-05-23T13:49:00Z
2025-05-24,GBP,USD,1.2653,2025-05-24T21:28:00Z
2025-05-24,GBP,EUR,1.179,2025-05-24T05:13:00Z
2025-05-24,GBP,CAD,1.7231,2025-05-24T11:03:00Z
2025-05-24,GBP,AUD,1.9357,2025-05-24T03:03:00Z
2025-05-25,GBP,USD,1.2567,2025-05-25T12:30:00Z
2025-05-25,GBP,EUR,1.1621,2025-05-25T23:48:00Z
2025-05-25,GBP,CAD,1.7369,2025-05-25T07:24:00Z
2025-05-25,GBP,AUD,1.9373,2025-05-25T12:30:00Z
2025-05-26,GBP,USD,1.2605,2025-05-26T16:55:00Z
2025-05-26,GBP,EUR,1.1674,2025-05-26T09:59:00Z
2025-05-26,GBP,CAD,1.7319,2025-05-26T12:43:00Z
2025-05-26,GBP,AUD,1.9226,2025-05-26T16:43:00Z
2025-05-27,GBP,USD,1.2882,2025-05-27T03:58:00Z
2025-05-27,GBP,EUR,1.1713,2025-05-27T11:54:00Z
2025-05-27,GBP,CAD,1.7173,2025-05-27T20:54:00Z
2025-05-27,GBP,AUD,1.9209,2025-05-27T08:17:00Z
2025-05-28,GBP,USD,1.2821,2025-05-28T08:41:00Z
2025-05-28,GBP,EUR,1.1734,2025-05-28T14:49:00Z
2025-05-28,GBP,CAD,1.727,2025-05-28T07:46:00Z
2025-05-28,GBP,AUD,1.9369,2025-05-28T06:33:00Z
2025-05-29,GBP,USD,1.2635,2025-05-29T22:11:00Z
2025-05-29,GBP,EUR,1.1625,2025-05-29T00:43:00Z
2025-05-29,GBP,CAD,1.7003,2025-05-29T02:00:00Z
2025-05-29,GBP,AUD,1.9264,2025-05-29T16:06:00Z
2025-05-30,GBP,USD,1.2774,2025-05-30T11:14:00Z
2025-05-30,GBP,EUR,1.179,2025-05-30T08:12:00Z
2025-05-30,GBP,CAD,1.7014,2025-05-30T19:05:00Z
2025-05-30,GBP,AUD,1.9123,2025-05-30T19:42:00Z
2025-05-31,GBP,USD,1.2858,2025-05-31T06:38:00Z
2025-05-31,GBP,EUR,1.1755,2025-05-31T22:07:00Z
2025-05-31,GBP,CAD,1.7035,2025-05-31T19:08:00Z
2025-05-31,GBP,AUD,1.925,2025-05-31T20:36:00Z
2025-06-01,GBP,USD,1.2821,2025-06-01T05:57:00Z
2025-06-01,GBP,EUR,1.1544,2025-06-01T05:16:00Z
2025-06-01,GBP,CAD,1.7118,2025-06-01T21:59:00Z
2025-06-01,GBP,AUD,1.913,2025-06-01T14:59:00Z
2025-06-02,GBP,USD,1.2898,2025-06-02T13:44:00Z
2025-06-02,GBP,EUR,1.1861,2025-06-02T10:16:00Z
2025-06-02,GBP,CAD,1.7065,2025-06-02T02:17:00Z
2025-06-02,GBP,AUD,1.9411,2025-06-02T12:24:00Z
2025-06-03,GBP,USD,1.2633,2025-06-03T01:16:00Z
2025-06-03,GBP,EUR,1.1882,2025-06-03T08:11:00Z
2025-06-03,GBP,CAD,1.7176,2025-06-03T15:59:00Z
2025-06-03,GBP,AUD,1.918,2025-06-03T12:11:00Z
2025-06-04,GBP,USD,1.2758,2025-06-04T03:09:00Z
2025-06-04,GBP,EUR,1.1716,2025-06-04T13:13:00Z
2025-06-04,GBP,CAD,1.7246,2025-06-04T03:58:00Z
2025-06-04,GBP,AUD,1.9277,2025-06-04T08:06:00Z
2025-06-05,GBP,USD,1.2514,2025-06-05T02:36:00Z
2025-06-05,GBP,EUR,1.1791,2025-06-05T14:01:00Z
2025-06-05,GBP,CAD,1.7359,2025-06-05T04:41:00Z
2025-06-05,GBP,AUD,1.9356,2025-06-05T01:42:00Z
2025-06-06,GBP,USD,1.2656,2025-06-06T04:44:00Z
2025-06-06,GBP,EUR,1.1632,2025-06-06T12:36:00Z
2025-06-06,GBP,CAD,1.7001,2025-06-06T22:49:00Z
2025-06-06,GBP,AUD,1.9296,2025-06-06T13:25:00Z
2025-06-07,GBP,USD,1.2838,2025-06-07T02:34:00Z
2025-06-07,GBP,EUR,1.159,2025-06-07T12:44:00Z
2025-06-07,GBP,CAD,1.7327,2025-06-07T15:07:00Z
2025-06-07,GBP,AUD,1.9327,2025-06-07T11:21:00Z
2025-06-08,GBP,USD,1.2773,2025-06-08T12:03:00Z
2025-06-08,GBP,EUR,1.1753,2025-06-08T20:05:00Z
2025-06-08,GBP,CAD,1.7146,2025-06-08T10:05:00Z
2025-06-08,GBP,AUD,1.9436,2025-06-08T09:41:00Z
2025-06-09,GBP,USD,1.2581,2025-06-09T17:02:00Z
2025-06-09,GBP,EUR,1.1887,2025-06-09T21:12:00Z
2025-06-09,GBP,CAD,1.712,2025-06-09T12:57:00Z
2025-06-09,GBP,AUD,1.9143,2025-06-09T22:22:00Z
2025-06-10,GBP,USD,1.2695,2025-06-10T20:28:00Z
2025-06-10,GBP,EUR,1.1794,2025-06-10T04:02:00Z
2025-06-10,GBP,CAD,1.7077,2025-06-10T23:37:00Z
2025-06-10,GBP,AUD,1.9195,2025-06-10T12:04:00Z
2025-06-11,GBP,USD,1.2817,2025-06-11T20:19:00Z
2025-06-11,GBP,EUR,1.17,2025-06-11T14:01:00Z
2025-06-11,GBP,CAD,1.7015,2025-06-11T01:21:00Z
2025-06-11,GBP,AUD,1.9415,2025-06-11T01:25:00Z
2025-06-12,GBP,USD,1.2547,2025-06-12T20:42:00Z
2025-06-12,GBP,EUR,1.1709,2025-06-12T21:55:00Z
2025-06-12,GBP,CAD,1.735,2025-06-12T04:47:00Z
2025-06-12,GBP,AUD,1.9332,2025-06-12T02:02:00Z
2025-06-13,GBP,USD,1.2794,2025-06-13T15:41:00Z
2025-06-13,GBP,EUR,1.1508,2025-06-13T19:02:00Z
2025-06-13,GBP,CAD,1.7097,2025-06-13T20:08:00Z
2025-06-13,GBP,AUD,1.9106,2025-06-13T20:03:00Z
2025-06-14,GBP,USD,1.2862,2025-06-14T03:29:00Z
2025-06-14,GBP,EUR,1.1744,2025-06-14T18:04:00Z
2025-06-14,GBP,CAD,1.7327,2025-06-14T03:07:00Z
2025-06-14,GBP,AUD,1.9299,2025-06-14T19:14:00Z
2025-06-15,GBP,USD,1.2525,2025-06-15T06:27:00Z
2025-06-15,GBP,EUR,1.1635,2025-06-15T23:43:00Z
2025-06-15,GBP,CAD,1.7161,2025-06-15T03:43:00Z
2025-06-15,GBP,AUD,1.933,2025-06-15T04:20:00Z
2025-06-16,GBP,USD,1.2835,2025-06-16T06:48:00Z
2025-06-16,GBP,EUR,1.1518,2025-06-16T05:21:00Z
2025-06-16,GBP,CAD,1.7025,2025-06-16T08:09:00Z
2025-06-16,GBP,AUD,1.9403,2025-06-16T05:44:00Z
2025-06-17,GBP,USD,1.2648,2025-06-17T05:28:00Z
2025-06-17,GBP,EUR,1.1597,2025-06-17T18:02:00Z
2025-06-17,GBP,CAD,1.7053,2025-06-17T20:39:00Z
2025-06-17,GBP,AUD,1.925,2025-06-17T05:01:00Z
2025-06-18,GBP,USD,1.2852,2025-06-18T02:00:00Z
2025-06-18,GBP,EUR,1.1503,2025-06-18T02:45:00Z
2025-06-18,GBP,CAD,1.7261,2025-06-18T09:26:00Z
2025-06-18,GBP,AUD,1.9377,2025-06-18T15:44:00Z
2025-06-19,GBP,USD,1.2551,2025-06-19T04:40:00Z
2025-06-19,GBP,EUR,1.1608,2025-06-19T14:26:00Z
2025-06-19,GBP,CAD,1.7096,2025-06-19T05:39:00Z
2025-06-19,GBP,AUD,1.9377,2025-06-19T19:11:00Z
2025-06-20,GBP,USD,1.2787,2025-06-20T19:05:00Z
2025-06-20,GBP,EUR,1.1751,2025-06-20T09:22:00Z
2025-06-20,GBP,CAD,1.7168,2025-06-20T17:15:00Z
2025-06-20,GBP,AUD,1.9177,2025-06-20T16:06:00Z
2025-06-21,GBP,USD,1.2748,2025-06-21T17:32:00Z
2025-06-21,GBP,EUR,1.1588,2025-06-21T20:42:00Z
2025-06-21,GBP,CAD,1.7083,2025-06-21T01:12:00Z
2025-06-21,GBP,AUD,1.9145,2025-06-21T04:43:00Z
2025-06-22,GBP,USD,1.2838,2025-06-22T15:31:00Z
2025-06-22,GBP,EUR,1.1571,2025-06-22T21:59:00Z
2025-06-22,GBP,CAD,1.7017,2025-06-22T20:23:00Z
2025-06-22,GBP,AUD,1.9214,2025-06-22T13:16:00Z
2025-06-23,GBP,USD,1.2634,2025-06-23T14:02:00Z
2025-06-23,GBP,EUR,1.1542,2025-06-23T01:59:00Z
2025-06-23,GBP,CAD,1.7215,2025-06-23T05:50:00Z
2025-06-23,GBP,AUD,1.9112,2025-06-23T16:07:00Z
2025-06-24,GBP,USD,1.2528,2025-06-24T07:46:00Z
2025-06-24,GBP,EUR,1.1678,2025-06-24T18:20:00Z
2025-06-24,GBP,CAD,1.7168,2025-06-24T23:43:00Z
2025-06-24,GBP,AUD,1.9459,2025-06-24T07:49:00Z
2025-06-25,GBP,USD,1.2544,2025-06-25T07:06:00Z
2025-06-25,GBP,EUR,1.1595,2025-06-25T13:55:00Z
2025-06-25,GBP,CAD,1.708,2025-06-25T07:04:00Z
2025-06-25,GBP,AUD,1.9288,2025-06-25T15:03:00Z
2025-06-26,GBP,USD,1.2856,2025-06-26T04:13:00Z
2025-06-26,GBP,EUR,1.1871,2025-06-26T14:11:00Z
2025-06-26,GBP,CAD,1.7155,2025-06-26T04:29:00Z
2025-06-26,GBP,AUD,1.9388,2025-06-26T20:22:00Z
2025-06-27,GBP,USD,1.289,2025-06-27T06:21:00Z
2025-06-27,GBP,EUR,1.1551,2025-06-27T22:36:00Z
2025-06-27,GBP,CAD,1.7024,2025-06-27T04:07:00Z
2025-06-27,GBP,AUD,1.9441,2025-06-27T14:26:00Z
2025-06-28,GBP,USD,1.2568,2025-06-28T10:14:00Z
2025-06-28,GBP,EUR,1.1855,2025-06-28T19:10:00Z
2025-06-28,GBP,CAD,1.7316,2025-06-28T20:39:00Z
2025-06-28,GBP,AUD,1.9462,2025-06-28T18:35:00Z
2025-06-29,GBP,USD,1.2842,2025-06-29T02:26:00Z
2025-06-29,GBP,EUR,1.1843,2025-06-29T15:55:00Z
2025-06-29,GBP,CAD,1.7398,2025-06-29T18:30:00Z
2025-06-29,GBP,AUD,1.9435,2025-06-29T08:00:00Z
2025-06-30,GBP,USD,1.2792,2025-06-30T23:55:00Z
2025-06-30,GBP,EUR,1.1599,2025-06-30T10:27:00Z
2025-06-30,GBP,CAD,1.7232,2025-06-30T18:09:00Z
2025-06-30,GBP,AUD,1.9466,2025-06-30T00:26:00Z
2025-07-01,GBP,USD,1.2892,2025-07-01T01:30:00Z
2025-07-01,GBP,EUR,1.1793,2025-07-01T16:02:00Z
2025-07-01,GBP,CAD,1.717,2025-07-01T12:30:00Z
2025-07-01,GBP,AUD,1.9424,2025-07-01T22:52:00Z
2025-07-02,GBP,USD,1.2539,2025-07-02T15:15:00Z
2025-07-02,GBP,EUR,1.1533,2025-07-02T00:44:00Z
2025-07-02,GBP,CAD,1.7293,2025-07-02T06:08:00Z
2025-07-02,GBP,AUD,1.9243,2025-07-02T07:41:00Z
2025-07-03,GBP,USD,1.29,2025-07-03T00:30:00Z
2025-07-03,GBP,EUR,1.1768,2025-07-03T05:45:00Z
2025-07-03,GBP,CAD,1.7184,2025-07-03T18:47:00Z
2025-07-03,GBP,AUD,1.9333,2025-07-03T14:29:00Z
2025-07-04,GBP,USD,1.2809,2025-07-04T22:25:00Z
2025-07-04,GBP,EUR,1.1574,2025-07-04T11:40:00Z
2025-07-04,GBP,CAD,1.7186,2025-07-04T20:00:00Z
2025-07-04,GBP,AUD,1.9444,2025-07-04T02:24:00Z
2025-07-05,GBP,USD,1.2857,2025-07-05T10:33:00Z
2025-07-05,GBP,EUR,1.1513,2025-07-05T13:48:00Z
2025-07-05,GBP,CAD,1.7108,2025-07-05T19:34:00Z
2025-07-05,GBP,AUD,1.933,2025-07-05T06:50:00Z
2025-07-06,GBP,USD,1.2774,2025-07-06T19:56:00Z
2025-07-06,GBP,EUR,1.1634,2025-07-06T01:32:00Z
2025-07-06,GBP,CAD,1.7378,2025-07-06T21:23:00Z
2025-07-06,GBP,AUD,1.9455,2025-07-06T03:24:00Z
2025-07-07,GBP,USD,1.2646,2025-07-07T19:02:00Z
2025-07-07,GBP,EUR,1.1646,2025-07-07T05:41:00Z
2025-07-07,GBP,CAD,1.7224,2025-07-07T02:35:00Z
2025-07-07,GBP,AUD,1.9384,2025-07-07T06:08:00Z
2025-07-08,GBP,USD,1.2893,2025-07-08T07:34:00Z
2025-07-08,GBP,EUR,1.1545,2025-07-08T15:47:00Z
2025-07-08,GBP,CAD,1.7376,2025-07-08T18:55:00Z
2025-07-08,GBP,AUD,1.9484,2025-07-08T06:48:00Z
2025-07-09,GBP,USD,1.2798,2025-07-09T07:20:00Z
2025-07-09,GBP,EUR,1.1641,2025-07-09T08:32:00Z
2025-07-09,GBP,CAD,1.7272,2025-07-09T08:03:00Z
2025-07-09,GBP,AUD,1.9125,2025-07-09T11:28:00Z
2025-07-10,GBP,USD,1.2694,2025-07-10T16:53:00Z
2025-07-10,GBP,EUR,1.1549,2025-07-10T22:34:00Z
