id,session_date,source,medium,campaign,device_category,pageviews,session_duration_seconds,_fivetran_synced
80,2025-10-22,google,cpc,google-shopping-feed-80,desktop,3,683,2025-10-22T03:07:00Z
81,2026-01-30,google,cpc,google-shopping-feed-81,tablet,7,43,2026-01-30T09:29:00Z
82,2026-05-14,google,cpc,google-shopping-feed-82,tablet,11,172,2026-05-14T04:01:00Z
83,2025-09-08,google,cpc,google-shopping-feed-83,desktop,10,491,2025-09-08T21:00:00Z
84,2025-11-30,google,cpc,google-shopping-feed-84,mobile,5,382,2025-11-30T22:17:00Z
85,2025-08-30,google,cpc,google-shopping-feed-85,mobile,12,724,2025-08-30T01:55:00Z
86,2025-12-29,google,cpc,google-shopping-feed-86,tablet,11,801,2025-12-29T04:58:00Z
87,2026-02-22,google,cpc,google-shopping-feed-87,desktop,2,464,2026-02-22T02:18:00Z
88,2025-10-17,google,cpc,google-shopping-feed-88,tablet,2,852,2025-10-17T19:36:00Z
89,2025-09-21,google,cpc,google-shopping-feed-89,tablet,4,600,2025-09-21T08:26:00Z
90,2026-06-23,google,cpc,google-shopping-feed-90,mobile,7,427,2026-06-23T04:55:00Z
91,2025-10-26,google,cpc,google-shopping-feed-91,desktop,4,344,2025-10-26T22:48:00Z
92,2026-01-21,google,cpc,google-shopping-feed-92,mobile,1,382,2026-01-21T07:00:00Z
93,2025-06-10,google,cpc,google-shopping-feed-93,tablet,7,85,2025-06-10T23:34:00Z
94,2025-09-02,google,cpc,google-shopping-feed-94,desktop,3,392,2025-09-02T15:52:00Z
95,2026-01-10,google,cpc,google-shopping-feed-95,mobile,1,231,2026-01-10T12:33:00Z
96,2025-10-23,google,cpc,google-shopping-feed-96,desktop,6,842,2025-10-23T01:25:00Z
97,2025-07-31,google,cpc,google-shopping-feed-97,desktop,7,415,2025-07-31T07:27:00Z
98,2026-05-30,google,cpc,google-shopping-feed-98,desktop,6,55,2026-05-30T04:46:00Z
99,2025-12-28,google,cpc,google-shopping-feed-99,tablet,2,672,2025-12-28T20:27:00Z
100,2025-08-15,google,cpc,google-shopping-feed-100,desktop,10,568,2025-08-15T18:07:00Z
101,2025-04-06,google,cpc,google-shopping-feed-101,desktop,10,54,2025-04-06T18:07:00Z
102,2025-06-24,google,cpc,google-shopping-feed-102,desktop,12,252,2025-06-24T20:01:00Z
103,2025-06-13,google,cpc,google-shopping-feed-103,mobile,3,33,2025-06-13T19:16:00Z
104,2025-06-20,bing,cpc,bing-non-brand-search-104,tablet,4,795,2025-06-20T14:48:00Z
105,2025-10-07,bing,cpc,bing-non-brand-search-105,tablet,8,722,2025-10-07T19:23:00Z
106,2025-07-28,bing,cpc,bing-non-brand-search-106,desktop,10,674,2025-07-28T05:25:00Z
107,2025-04-22,bing,cpc,bing-non-brand-search-107,desktop,10,743,2025-04-22T17:27:00Z
108,2025-04-23,bing,cpc,bing-non-brand-search-108,desktop,8,367,2025-04-23T15:59:00Z
109,2025-08-30,bing,cpc,bing-non-brand-search-109,tablet,6,273,2025-08-30T08:40:00Z
110,2026-01-28,bing,cpc,bing-non-brand-search-110,desktop,1,336,2026-01-28T09:47:00Z
111,2026-01-11,bing,cpc,bing-non-brand-search-111,tablet,5,720,2026-01-11T09:59:00Z
112,2025-09-16,bing,cpc,bing-non-brand-search-112,desktop,9,102,2025-09-16T03:35:00Z
113,2025-04-09,bing,cpc,bing-non-brand-search-113,tablet,9,133,2025-04-09T22:35:00Z
114,2026-01-30,bing,cpc,bing-non-brand-search-114,mobile,6,654,2026-01-30T11:33:00Z
115,2025-07-18,bing,cpc,bing-non-brand-search-115,mobile,5,790,2025-07-18T10:25:00Z
116,2025-10-25,bing,cpc,bing-non-brand-search-116,desktop,3,621,2025-10-25T21:23:00Z
117,2025-06-16,bing,cpc,bing-non-brand-search-117,desktop,8,641,2025-06-16T15:03:00Z
118,2025-09-09,bing,cpc,bing-non-brand-search-118,tablet,7,399,2025-09-09T00:15:00Z
119,2026-05-21,bing,cpc,bing-non-brand-search-119,mobile,2,840,2026-05-21T13:53:00Z
120,2025-06-11,bing,cpc,bing-non-brand-search-120,mobile,9,443,2025-06-11T00:28:00Z
121,2025-04-06,bing,cpc,bing-non-brand-search-121,mobile,8,894,2025-04-06T20:09:00Z
122,2026-04-23,bing,cpc,bing-non-brand-search-122,mobile,7,26,2026-04-23T04:12:00Z
123,2025-09-28,bing,cpc,bing-non-brand-search-123,desktop,6,526,2025-09-28T11:01:00Z
124,2025-05-07,bing,cpc,bing-non-brand-search-124,mobile,4,707,2025-05-07T00:04:00Z
125,2025-11-12,bing,cpc,bing-non-brand-search-125,desktop,11,753,2025-11-12T20:05:00Z
126,2025-11-03,bing,cpc,bing-non-brand-search-126,mobile,2,333,2025-11-03T13:03:00Z
127,2025-09-25,bing,cpc,bing-non-brand-search-127,tablet,8,595,2025-09-25T01:23:00Z
128,2025-06-06,bing,cpc,bing-non-brand-search-128,desktop,5,319,2025-06-06T02:13:00Z
129,2025-08-04,bing,cpc,bing-non-brand-search-129,tablet,6,324,2025-08-04T14:36:00Z
130,2025-08-14,bing,cpc,bing-non-brand-search-130,desktop,12,394,2025-08-14T08:46:00Z
131,2026-04-17,bing,cpc,bing-non-brand-search-131,mobile,4,109,2026-04-17T21:51:00Z
132,2025-09-11,bing,cpc,bing-non-brand-search-132,tablet,8,607,2025-09-11T01:20:00Z
133,2026-04-06,bing,cpc,bing-non-brand-search-133,mobile,2,596,2026-04-06T23:05:00Z
134,2026-04-24,bing,cpc,bing-non-brand-search-134,tablet,9,662,2026-04-24T18:34:00Z
135,2025-10-21,bing,cpc,bing-non-brand-search-135,mobile,12,317,2025-10-21T22:25:00Z
136,2026-01-23,bing,cpc,bing-non-brand-search-136,desktop,7,348,2026-01-23T12:56:00Z
137,2025-06-03,bing,cpc,bing-non-brand-search-137,tablet,4,209,2025-06-03T10:45:00Z
138,2026-02-05,bing,cpc,bing-non-brand-search-138,mobile,5,652,2026-02-05T21:35:00Z
139,2025-10-20,google,organic,google-organic-search-139,tablet,1,393,2025-10-20T21:29:00Z
140,2025-04-26,google,organic,google-organic-search-140,desktop,4,773,2025-04-26T22:30:00Z
141,2026-06-08,google,organic,google-organic-search-141,mobile,12,100,2026-06-08T17:16:00Z
142,2025-08-04,google,organic,google-organic-search-142,desktop,11,112,2025-08-04T18:11:00Z
143,2025-06-23,google,organic,google-organic-search-143,desktop,10,378,2025-06-23T13:31:00Z
144,2025-08-02,google,organic,google-organic-search-144,desktop,4,880,2025-08-02T04:44:00Z
145,2026-03-28,google,organic,google-organic-search-145,tablet,12,500,2026-03-28T06:50:00Z
146,2026-03-16,google,organic,google-organic-search-146,desktop,4,589,2026-03-16T12:18:00Z
147,2025-08-11,google,organic,google-organic-search-147,desktop,3,899,2025-08-11T17:58:00Z
148,2025-06-08,google,organic,google-organic-search-148,mobile,4,791,2025-06-08T05:52:00Z
149,2025-10-20,google,organic,google-organic-search-149,mobile,7,642,2025-10-20T18:41:00Z
150,2025-07-05,google,organic,google-organic-search-150,mobile,3,459,2025-07-05T15:58:00Z
151,2025-07-31,google,organic,google-organic-search-151,tablet,12,173,2025-07-31T07:46:00Z
152,2025-12-30,google,organic,google-organic-search-152,mobile,11,154,2025-12-30T01:08:00Z
153,2025-08-01,google,organic,google-organic-search-153,tablet,3,32,2025-08-01T18:06:00Z
154,2025-08-07,google,organic,google-organic-search-154,tablet,1,76,2025-08-07T13:39:00Z
155,2025-07-06,google,organic,google-organic-search-155,desktop,3,538,2025-07-06T08:18:00Z
156,2025-06-10,google,organic,google-organic-search-156,desktop,5,516,2025-06-10T21:04:00Z
157,2026-02-04,google,organic,google-organic-search-157,tablet,9,162,2026-02-04T19:00:00Z
158,2026-05-15,google,organic,google-organic-search-158,tablet,8,349,2026-05-15T10:55:00Z
159,2025-05-14,google,organic,google-organic-search-159,mobile,5,716,2025-05-14T10:08:00Z
160,2025-10-17,google,organic,google-organic-search-160,desktop,8,341,2025-10-17T13:36:00Z
161,2026-03-20,google,organic,google-organic-search-161,tablet,10,81,2026-03-20T06:35:00Z
162,2025-07-23,google,organic,google-organic-search-162,desktop,1,13,2025-07-23T22:53:00Z
163,2025-10-19,google,organic,google-organic-search-163,mobile,4,228,2025-10-19T21:09:00Z
164,2025-07-04,google,organic,google-organic-search-164,mobile,11,752,2025-07-04T04:58:00Z
165,2025-06-05,google,organic,google-organic-search-165,mobile,8,488,2025-06-05T14:13:00Z
166,2025-07-14,google,organic,google-organic-search-166,desktop,7,753,2025-07-14T16:44:00Z
167,2025-04-18,google,organic,google-organic-search-167,mobile,7,315,2025-04-18T23:30:00Z
168,2025-04-15,google,organic,google-organic-search-168,mobile,1,222,2025-04-15T17:23:00Z
169,2025-04-27,google,organic,google-organic-search-169,desktop,7,826,2025-04-27T01:21:00Z
170,2026-02-09,google,organic,google-organic-search-170,mobile,3,648,2026-02-09T16:50:00Z
171,2025-09-03,google,organic,google-organic-search-171,desktop,11,304,2025-09-03T02:46:00Z
172,2026-05-27,google,organic,google-organic-search-172,desktop,11,494,2026-05-27T22:19:00Z
173,2026-04-08,google,organic,google-organic-search-173,desktop,3,517,2026-04-08T08:01:00Z
174,2026-03-12,google,organic,google-organic-search-174,tablet,7,494,2026-03-12T11:32:00Z
175,2025-06-25,google,organic,google-organic-search-175,mobile,8,440,2025-06-25T04:23:00Z
176,2026-01-17,google,organic,google-organic-search-176,desktop,7,860,2026-01-17T05:00:00Z
177,2026-06-06,google,organic,google-organic-search-177,desktop,4,733,2026-06-06T12:12:00Z
178,2026-03-06,facebook,cpc,facebook-cpc-retarget-178,mobile,11,877,2026-03-06T12:56:00Z
179,2026-05-13,facebook,cpc,facebook-cpc-retarget-179,mobile,7,756,2026-05-13T02:18:00Z
180,2026-01-19,facebook,cpc,facebook-cpc-retarget-180,mobile,5,332,2026-01-19T19:31:00Z
181,2026-02-25,facebook,cpc,facebook-cpc-retarget-181,tablet,4,116,2026-02-25T16:59:00Z
182,2025-07-21,facebook,cpc,facebook-cpc-retarget-182,tablet,12,798,2025-07-21T18:43:00Z
183,2025-12-05,facebook,cpc,facebook-cpc-retarget-183,tablet,10,868,2025-12-05T17:45:00Z
184,2025-08-21,facebook,cpc,facebook-cpc-retarget-184,tablet,2,273,2025-08-21T19:58:00Z
185,2026-03-28,facebook,cpc,facebook-cpc-retarget-185,tablet,7,45,2026-03-28T18:47:00Z
186,2026-02-12,facebook,cpc,facebook-cpc-retarget-186,mobile,6,24,2026-02-12T09:38:00Z
187,2026-03-26,facebook,cpc,facebook-cpc-retarget-187,tablet,4,156,2026-03-26T13:49:00Z
188,2026-06-21,facebook,cpc,facebook-cpc-retarget-188,mobile,5,231,2026-06-21T04:08:00Z
189,2026-04-17,facebook,cpc,facebook-cpc-retarget-189,desktop,10,273,2026-04-17T12:06:00Z
190,2025-06-06,facebook,cpc,facebook-cpc-retarget-190,desktop,3,745,2025-06-06T17:37:00Z
191,2026-03-27,facebook,cpc,facebook-cpc-retarget-191,tablet,11,86,2026-03-27T21:55:00Z
192,2025-05-24,facebook,cpc,facebook-cpc-retarget-192,mobile,10,305,2025-05-24T17:59:00Z
193,2025-09-21,facebook,cpc,facebook-cpc-retarget-193,desktop,5,26,2025-09-21T00:44:00Z
194,2025-05-08,facebook,cpc,facebook-cpc-retarget-194,desktop,11,471,2025-05-08T13:47:00Z
195,2026-03-24,facebook,cpc,facebook-cpc-retarget-195,desktop,3,207,2026-03-24T18:33:00Z
196,2026-03-27,facebook,cpc,facebook-cpc-retarget-196,mobile,8,317,2026-03-27T05:52:00Z
197,2026-06-30,facebook,cpc,facebook-cpc-retarget-197,tablet,3,359,2026-06-30T12:45:00Z
198,2025-11-23,facebook,cpc,facebook-cpc-retarget-198,tablet,9,722,2025-11-23T15:04:00Z
199,2026-06-08,facebook,cpc,facebook-cpc-retarget-199,tablet,9,548,2026-06-08T04:58:00Z
200,2025-06-05,facebook,cpc,facebook-cpc-retarget-200,desktop,8,548,2025-06-05T20:34:00Z
201,2026-02-27,facebook,cpc,facebook-cpc-retarget-201,mobile,1,347,2026-02-27T21:34:00Z
202,2026-06-09,facebook,cpc,facebook-cpc-retarget-202,mobile,2,407,2026-06-09T16:03:00Z
203,2025-10-14,facebook,cpc,facebook-cpc-retarget-203,tablet,2,758,2025-10-14T06:44:00Z
204,2026-04-06,facebook,cpc,facebook-cpc-retarget-204,mobile,10,667,2026-04-06T11:25:00Z
205,2025-09-04,facebook,cpc,facebook-cpc-retarget-205,mobile,12,598,2025-09-04T19:34:00Z
206,2026-06-20,facebook,cpc,facebook-cpc-retarget-206,mobile,7,35,2026-06-20T21:20:00Z
207,2025-12-20,facebook,cpc,facebook-cpc-retarget-207,mobile,11,464,2025-12-20T19:17:00Z
208,2026-01-16,facebook,cpc,facebook-cpc-retarget-208,mobile,4,704,2026-01-16T17:15:00Z
209,2025-04-02,facebook,cpc,facebook-cpc-retarget-209,tablet,8,167,2025-04-02T06:25:00Z
210,2026-05-17,facebook,cpc,facebook-cpc-retarget-210,desktop,1,869,2026-05-17T17:03:00Z
211,2026-01-19,facebook,cpc,facebook-cpc-retarget-211,desktop,7,95,2026-01-19T12:25:00Z
212,2025-06-07,facebook,cpc,facebook-cpc-retarget-212,desktop,2,438,2025-06-07T10:22:00Z
213,2025-09-11,facebook,cpc,facebook-cpc-retarget-213,tablet,8,710,2025-09-11T16:26:00Z
214,2025-08-21,facebook,cpc,facebook-cpc-retarget-214,mobile,8,691,2025-08-21T16:25:00Z
215,2025-09-13,facebook,cpc,facebook-cpc-retarget-215,mobile,6,515,2025-09-13T11:06:00Z
216,2025-06-28,facebook,cpc,facebook-cpc-retarget-216,mobile,8,451,2025-06-28T08:00:00Z
217,2025-04-04,facebook,cpc,facebook-cpc-retarget-217,desktop,7,546,2025-04-04T14:21:00Z
218,2025-12-23,facebook,cpc,facebook-cpc-retarget-218,mobile,9,886,2025-12-23T04:18:00Z
219,2025-09-30,facebook,organic,facebook-organic-page-post-219,desktop,7,401,2025-09-30T11:16:00Z
220,2025-09-14,facebook,organic,facebook-organic-page-post-220,desktop,3,189,2025-09-14T08:55:00Z
221,2025-09-02,facebook,organic,facebook-organic-page-post-221,mobile,2,798,2025-09-02T16:37:00Z
222,2026-02-08,facebook,organic,facebook-organic-page-post-222,mobile,5,15,2026-02-08T04:51:00Z
223,2026-06-09,facebook,organic,facebook-organic-page-post-223,desktop,4,551,2026-06-09T13:58:00Z
224,2025-12-30,facebook,organic,facebook-organic-page-post-224,mobile,1,534,2025-12-30T07:53:00Z
225,2025-09-10,facebook,organic,facebook-organic-page-post-225,mobile,1,757,2025-09-10T02:28:00Z
226,2025-04-11,facebook,organic,facebook-organic-page-post-226,desktop,7,208,2025-04-11T01:56:00Z
227,2026-02-13,facebook,organic,facebook-organic-page-post-227,mobile,5,167,2026-02-13T06:32:00Z
228,2026-02-24,facebook,organic,facebook-organic-page-post-228,mobile,1,187,2026-02-24T01:51:00Z
229,2026-03-22,facebook,organic,facebook-organic-page-post-229,mobile,12,59,2026-03-22T17:39:00Z
230,2026-04-12,facebook,organic,facebook-organic-page-post-230,tablet,4,41,2026-04-12T19:49:00Z
231,2026-06-21,facebook,organic,facebook-organic-page-post-231,mobile,12,80,2026-06-21T06:17:00Z
232,2026-03-09,facebook,organic,facebook-organic-page-post-232,tablet,1,607,2026-03-09T13:40:00Z
233,2025-05-04,facebook,organic,facebook-organic-page-post-233,tablet,8,620,2025-05-04T15:55:00Z
234,2026-06-07,facebook,organic,facebook-organic-page-post-234,tablet,8,148,2026-06-07T08:21:00Z
235,2025-06-18,facebook,organic,facebook-organic-page-post-235,tablet,5,122,2025-06-18T06:23:00Z
236,2025-10-17,facebook,organic,facebook-organic-page-post-236,tablet,5,549,2025-10-17T00:19:00Z
237,2025-09-10,facebook,organic,facebook-organic-page-post-237,desktop,8,219,2025-09-10T11:48:00Z
238,2026-04-30,facebook,organic,facebook-organic-page-post-238,mobile,12,513,2026-04-30T09:32:00Z
239,2025-04-08,facebook,organic,facebook-organic-page-post-239,tablet,6,520,2025-04-08T20:40:00Z
240,2025-07-24,facebook,organic,facebook-organic-page-post-240,tablet,5,703,2025-07-24T00:56:00Z
241,2025-09-20,facebook,organic,facebook-organic-page-post-241,tablet,11,789,2025-09-20T17:02:00Z
242,2025-06-11,facebook,organic,facebook-organic-page-post-242,tablet,7,11,2025-06-11T05:45:00Z
243,2026-02-10,facebook,organic,facebook-organic-page-post-243,mobile,5,160,2026-02-10T20:55:00Z
244,2026-05-20,facebook,organic,facebook-organic-page-post-244,desktop,4,102,2026-05-20T11:58:00Z
245,2026-02-02,instagram,cpc,instagram-cpc-story-ads-245,desktop,6,543,2026-02-02T08:39:00Z
246,2026-06-05,instagram,cpc,instagram-cpc-story-ads-246,desktop,8,205,2026-06-05T09:09:00Z
247,2025-04-21,instagram,cpc,instagram-cpc-story-ads-247,desktop,2,587,2025-04-21T23:28:00Z
248,2026-03-07,instagram,cpc,instagram-cpc-story-ads-248,mobile,8,302,2026-03-07T17:27:00Z
249,2025-11-22,instagram,cpc,instagram-cpc-story-ads-249,mobile,10,384,2025-11-22T03:42:00Z
250,2025-09-06,instagram,cpc,instagram-cpc-story-ads-250,desktop,9,445,2025-09-06T23:17:00Z
251,2026-03-18,instagram,cpc,instagram-cpc-story-ads-251,tablet,12,172,2026-03-18T06:00:00Z
252,2025-12-13,instagram,cpc,instagram-cpc-story-ads-252,tablet,12,142,2025-12-13T19:20:00Z
253,2026-05-08,instagram,cpc,instagram-cpc-story-ads-253,tablet,9,415,2026-05-08T22:32:00Z
254,2026-05-18,instagram,cpc,instagram-cpc-story-ads-254,mobile,2,594,2026-05-18T13:10:00Z
255,2025-08-04,instagram,cpc,instagram-cpc-story-ads-255,tablet,4,182,2025-08-04T13:01:00Z
256,2026-04-13,instagram,cpc,instagram-cpc-story-ads-256,tablet,6,749,2026-04-13T17:24:00Z
257,2026-04-02,instagram,cpc,instagram-cpc-story-ads-257,tablet,5,179,2026-04-02T14:26:00Z
258,2026-06-04,instagram,cpc,instagram-cpc-story-ads-258,mobile,5,538,2026-06-04T06:06:00Z
259,2026-06-09,instagram,cpc,instagram-cpc-story-ads-259,mobile,4,726,2026-06-09T00:24:00Z
260,2025-10-24,instagram,cpc,instagram-cpc-story-ads-260,desktop,10,228,2025-10-24T21:41:00Z
261,2026-03-15,instagram,cpc,instagram-cpc-story-ads-261,desktop,6,104,2026-03-15T16:59:00Z
262,2026-05-14,instagram,cpc,instagram-cpc-story-ads-262,desktop,8,563,2026-05-14T16:09:00Z
263,2025-08-29,instagram,cpc,instagram-cpc-story-ads-263,desktop,7,853,2025-08-29T11:52:00Z
264,2025-09-22,instagram,cpc,instagram-cpc-story-ads-264,tablet,5,434,2025-09-22T19:35:00Z
265,2026-01-29,instagram,cpc,instagram-cpc-story-ads-265,desktop,7,166,2026-01-29T07:08:00Z
266,2025-11-22,instagram,cpc,instagram-cpc-story-ads-266,tablet,3,235,2025-11-22T20:30:00Z
267,2025-05-31,instagram,cpc,instagram-cpc-story-ads-267,mobile,10,524,2025-05-31T18:01:00Z
268,2025-06-17,instagram,cpc,instagram-cpc-story-ads-268,desktop,4,492,2025-06-17T21:52:00Z
269,2026-01-19,instagram,cpc,instagram-cpc-story-ads-269,desktop,1,735,2026-01-19T13:20:00Z
270,2026-05-27,instagram,cpc,instagram-cpc-story-ads-270,mobile,12,565,2026-05-27T20:40:00Z
271,2025-11-16,instagram,cpc,instagram-cpc-story-ads-271,desktop,11,575,2025-11-16T08:51:00Z
272,2025-11-25,instagram,cpc,instagram-cpc-story-ads-272,mobile,10,340,2025-11-25T22:16:00Z
273,2025-05-07,instagram,cpc,instagram-cpc-story-ads-273,tablet,8,440,2025-05-07T15:20:00Z
274,2025-09-08,instagram,cpc,instagram-cpc-story-ads-274,desktop,10,547,2025-09-08T02:52:00Z
275,2026-06-24,instagram,cpc,instagram-cpc-story-ads-275,tablet,9,649,2026-06-24T21:02:00Z
