id,ad_id,date,impressions,clicks,cost,conversions,_fivetran_synced
122,4,2025-09-01,2457,49,30.23,3,2025-09-01T23:56:00Z
123,4,2025-09-02,759,53,39.05,5,2025-09-02T13:21:00Z
124,4,2025-09-03,3426,156,233.81,5,2025-09-03T09:53:00Z
125,4,2025-09-04,2604,131,166.88,13,2025-09-04T14:34:00Z
126,4,2025-09-05,2183,74,83.08,4,2025-09-05T14:59:00Z
127,4,2025-09-06,1518,107,184.37,3,2025-09-06T12:14:00Z
128,4,2025-09-07,3706,238,97.84,21,2025-09-07T22:58:00Z
129,4,2025-09-08,3523,129,223.66,12,2025-09-08T20:09:00Z
130,4,2025-09-09,2228,172,90.6,19,2025-09-09T10:55:00Z
131,4,2025-09-10,611,43,41.56,2,2025-09-10T14:00:00Z
132,4,2025-09-11,3159,63,98.87,7,2025-09-11T02:30:00Z
133,4,2025-09-12,3401,264,217.53,21,2025-09-12T20:05:00Z
134,4,2025-09-13,3688,121,156.59,7,2025-09-13T10:40:00Z
135,4,2025-09-14,3143,226,233.49,14,2025-09-14T19:04:00Z
136,4,2025-09-15,1161,62,101.64,7,2025-09-15T23:05:00Z
137,4,2025-09-16,1977,155,219.25,13,2025-09-16T03:28:00Z
138,4,2025-09-17,881,51,82.35,0,2025-09-17T01:18:00Z
139,4,2025-09-18,1668,60,33.23,3,2025-09-18T18:43:00Z
140,4,2025-09-19,3446,77,45.82,5,2025-09-19T12:39:00Z
141,4,2025-09-20,2998,80,130.24,1,2025-09-20T14:40:00Z
142,4,2025-09-21,1240,52,66.75,5,2025-09-21T14:57:00Z
143,4,2025-09-22,1378,79,45.12,4,2025-09-22T11:37:00Z
144,5,2025-10-20,636,16,18.41,1,2025-10-20T22:18:00Z
145,5,2025-10-21,289,22,27.97,0,2025-10-21T18:55:00Z
146,5,2025-10-22,3009,194,332.33,21,2025-10-22T23:31:00Z
147,5,2025-10-23,3611,264,198.18,25,2025-10-23T19:51:00Z
148,5,2025-10-24,1643,41,25.26,1,2025-10-24T23:49:00Z
149,5,2025-10-25,2900,167,90.43,1,2025-10-25T20:41:00Z
150,5,2025-10-26,361,11,10.64,0,2025-10-26T23:08:00Z
151,5,2025-10-27,569,41,33.1,2,2025-10-27T06:08:00Z
152,5,2025-10-28,3421,163,278.74,10,2025-10-28T08:53:00Z
153,5,2025-10-29,873,24,36.11,1,2025-10-29T09:47:00Z
154,5,2025-10-30,3765,126,64.42,14,2025-10-30T04:48:00Z
155,5,2025-10-31,1124,78,106.38,9,2025-10-31T17:23:00Z
156,5,2025-11-01,569,37,13.67,2,2025-11-01T14:23:00Z
157,5,2025-11-02,2955,184,131.93,8,2025-11-02T20:23:00Z
158,5,2025-11-03,643,36,36.36,2,2025-11-03T17:20:00Z
159,5,2025-11-04,3948,208,261.4,15,2025-11-04T14:58:00Z
160,5,2025-11-05,3071,95,87.55,1,2025-11-05T01:19:00Z
161,5,2025-11-06,2217,40,27.15,2,2025-11-06T12:29:00Z
162,5,2025-11-07,1719,97,134.87,11,2025-11-07T13:37:00Z
163,5,2025-11-08,3240,197,313.15,15,2025-11-08T15:39:00Z
164,5,2025-11-09,1871,141,104.57,11,2025-11-09T06:28:00Z
165,5,2025-11-10,2021,154,238.34,1,2025-11-10T21:23:00Z
166,5,2025-11-11,2430,177,221.74,1,2025-11-11T08:12:00Z
167,5,2025-11-12,700,53,79.7,0,2025-11-12T06:41:00Z
168,5,2025-11-13,2819,146,55.47,13,2025-11-13T07:08:00Z
169,5,2025-11-14,3423,169,75.38,15,2025-11-14T06:37:00Z
170,5,2025-11-15,1084,72,48.69,6,2025-11-15T19:00:00Z
171,5,2025-11-16,1335,93,51.39,1,2025-11-16T08:51:00Z
172,5,2025-11-17,914,16,25.01,0,2025-11-17T11:50:00Z
173,5,2025-11-18,3429,91,73.1,1,2025-11-18T01:08:00Z
174,5,2025-11-19,3238,127,64.66,0,2025-11-19T14:49:00Z
175,5,2025-11-20,1682,77,38.71,4,2025-11-20T19:02:00Z
176,5,2025-11-21,3178,206,322.14,12,2025-11-21T14:41:00Z
177,5,2025-11-22,327,4,4.08,0,2025-11-22T21:06:00Z
178,5,2025-11-23,2208,132,128.17,14,2025-11-23T10:38:00Z
179,5,2025-11-24,807,11,8.09,0,2025-11-24T17:45:00Z
180,5,2025-11-25,1531,56,66.44,1,2025-11-25T16:38:00Z
181,5,2025-11-26,1962,33,43.97,3,2025-11-26T20:56:00Z
182,5,2025-11-27,3349,162,252.99,8,2025-11-27T07:26:00Z
183,5,2025-11-28,1588,107,97.18,9,2025-11-28T10:27:00Z
184,6,2025-10-03,825,47,47.66,0,2025-10-03T02:05:00Z
185,6,2025-10-04,1968,32,44.3,3,2025-10-04T17:03:00Z
186,6,2025-10-05,2602,200,227.27,16,2025-10-05T13:22:00Z
187,6,2025-10-06,3778,213,298.28,22,2025-10-06T23:03:00Z
188,6,2025-10-07,1378,71,59.8,4,2025-10-07T06:09:00Z
189,6,2025-10-08,2889,126,193.56,5,2025-10-08T17:23:00Z
190,6,2025-10-09,670,42,48.46,4,2025-10-09T17:49:00Z
191,6,2025-10-10,3552,190,246.04,12,2025-10-10T19:59:00Z
192,6,2025-10-11,2894,196,141.99,4,2025-10-11T22:48:00Z
193,6,2025-10-12,1465,109,91.72,2,2025-10-12T04:36:00Z
194,6,2025-10-13,2892,110,60.35,8,2025-10-13T00:05:00Z
195,6,2025-10-14,3256,153,134.13,8,2025-10-14T05:23:00Z
196,6,2025-10-15,1476,89,127.94,6,2025-10-15T02:56:00Z
197,6,2025-10-16,415,8,11.25,0,2025-10-16T02:17:00Z
198,6,2025-10-17,2014,113,116.38,5,2025-10-17T08:13:00Z
199,6,2025-10-18,3292,150,124.99,1,2025-10-18T21:43:00Z
200,6,2025-10-19,2629,115,147.66,0,2025-10-19T12:38:00Z
201,6,2025-10-20,424,4,3.09,0,2025-10-20T04:48:00Z
202,6,2025-10-21,1246,37,19.17,2,2025-10-21T13:11:00Z
203,6,2025-10-22,729,26,34.71,1,2025-10-22T21:51:00Z
204,6,2025-10-23,1650,24,37.36,0,2025-10-23T00:29:00Z
205,6,2025-10-24,3973,61,48.09,3,2025-10-24T12:45:00Z
206,6,2025-10-25,2822,110,56.24,0,2025-10-25T10:10:00Z
207,6,2025-10-26,3482,265,263.45,21,2025-10-26T11:05:00Z
208,6,2025-10-27,1988,137,94.62,9,2025-10-27T16:05:00Z
209,6,2025-10-28,1821,129,179.84,3,2025-10-28T05:04:00Z
210,6,2025-10-29,2290,124,135.51,2,2025-10-29T11:22:00Z
211,6,2025-10-30,3179,245,307.14,4,2025-10-30T03:09:00Z
212,6,2025-10-31,1248,29,34.61,2,2025-10-31T20:04:00Z
213,6,2025-11-01,925,70,86.04,3,2025-11-01T18:48:00Z
214,6,2025-11-02,2573,106,174.24,7,2025-11-02T20:39:00Z
215,6,2025-11-03,1523,107,131.41,1,2025-11-03T02:30:00Z
216,6,2025-11-04,2011,108,158.21,7,2025-11-04T11:32:00Z
217,6,2025-11-05,503,15,14.74,0,2025-11-05T09:04:00Z
218,6,2025-11-06,2840,200,309.48,14,2025-11-06T16:24:00Z
219,6,2025-11-07,2095,106,178.71,9,2025-11-07T01:28:00Z
220,7,2025-10-31,817,62,60.81,6,2025-10-31T10:45:00Z
221,7,2025-11-01,545,24,14.2,0,2025-11-01T14:28:00Z
222,7,2025-11-02,2346,109,62.37,4,2025-11-02T09:24:00Z
223,7,2025-11-03,1874,120,156.05,0,2025-11-03T20:41:00Z
224,7,2025-11-04,1570,22,10.61,1,2025-11-04T09:16:00Z
225,7,2025-11-05,3164,220,374.04,15,2025-11-05T04:21:00Z
226,7,2025-11-06,533,27,14.8,1,2025-11-06T20:44:00Z
227,7,2025-11-07,2912,109,128.95,12,2025-11-07T09:35:00Z
228,7,2025-11-08,1742,95,76.94,1,2025-11-08T22:53:00Z
229,7,2025-11-09,3226,257,418.25,2,2025-11-09T21:27:00Z
230,7,2025-11-10,2282,80,68.61,1,2025-11-10T06:21:00Z
231,7,2025-11-11,3338,147,98.07,2,2025-11-11T02:18:00Z
232,7,2025-11-12,3658,238,252.46,15,2025-11-12T23:56:00Z
233,7,2025-11-13,2356,29,23.82,2,2025-11-13T04:38:00Z
234,7,2025-11-14,1743,36,21.71,2,2025-11-14T19:51:00Z
235,7,2025-11-15,3897,84,80.87,4,2025-11-15T21:46:00Z
236,7,2025-11-16,1172,91,109.64,8,2025-11-16T14:14:00Z
237,7,2025-11-17,2387,63,107.22,5,2025-11-17T06:23:00Z
238,7,2025-11-18,2978,227,392.3,12,2025-11-18T09:49:00Z
239,7,2025-11-19,1764,79,73.95,1,2025-11-19T06:51:00Z
240,7,2025-11-20,2676,52,36.4,4,2025-11-20T11:35:00Z
241,7,2025-11-21,620,37,39.67,0,2025-11-21T02:48:00Z
242,7,2025-11-22,856,24,38.82,0,2025-11-22T13:05:00Z
243,7,2025-11-23,3929,100,98.16,4,2025-11-23T00:26:00Z
244,7,2025-11-24,418,15,13.1,0,2025-11-24T02:23:00Z
245,7,2025-11-25,1119,13,21.49,1,2025-11-25T20:21:00Z
246,7,2025-11-26,3441,69,27.85,7,2025-11-26T15:44:00Z
247,7,2025-11-27,3604,71,94.98,3,2025-11-27T00:57:00Z
248,7,2025-11-28,524,5,3.26,0,2025-11-28T23:38:00Z
249,7,2025-11-29,2361,93,133.61,2,2025-11-29T03:03:00Z
250,7,2025-11-30,1176,46,67.23,2,2025-11-30T03:53:00Z
251,7,2025-12-01,3907,175,192.58,13,2025-12-01T18:15:00Z
252,7,2025-12-02,3143,63,59.91,4,2025-12-02T07:36:00Z
253,7,2025-12-03,1906,44,56.56,2,2025-12-03T11:04:00Z
254,7,2025-12-04,2354,113,163.96,6,2025-12-04T00:24:00Z
255,7,2025-12-05,3777,162,200.87,19,2025-12-05T08:47:00Z
256,7,2025-12-06,266,9,4.0,0,2025-12-06T21:40:00Z
257,7,2025-12-07,624,39,53.79,1,2025-12-07T01:22:00Z
258,7,2025-12-08,2436,82,102.49,8,2025-12-08T21:29:00Z
259,7,2025-12-09,3048,132,79.88,2,2025-12-09T22:49:00Z
260,7,2025-12-10,2074,26,16.44,2,2025-12-10T01:20:00Z
261,8,2025-10-21,2139,59,82.87,1,2025-10-21T11:55:00Z
262,8,2025-10-22,3398,45,57.06,1,2025-10-22T11:27:00Z
263,8,2025-10-23,3843,146,140.98,16,2025-10-23T10:11:00Z
264,8,2025-10-24,2232,130,112.36,12,2025-10-24T08:51:00Z
265,8,2025-10-25,538,32,14.74,2,2025-10-25T05:34:00Z
266,8,2025-10-26,1403,45,20.79,3,2025-10-26T09:28:00Z
267,8,2025-10-27,2668,160,93.33,8,2025-10-27T14:02:00Z
268,8,2025-10-28,3177,225,189.81,26,2025-10-28T08:40:00Z
269,8,2025-10-29,3441,262,119.23,20,2025-10-29T11:32:00Z
270,8,2025-10-30,3481,217,124.55,0,2025-10-30T19:43:00Z
271,8,2025-10-31,3400,138,72.69,3,2025-10-31T20:23:00Z
272,8,2025-11-01,1683,61,69.79,4,2025-11-01T21:28:00Z
273,8,2025-11-02,1719,61,86.52,4,2025-11-02T16:23:00Z
274,8,2025-11-03,1830,58,42.93,6,2025-11-03T00:47:00Z
275,8,2025-11-04,962,43,38.35,2,2025-11-04T08:49:00Z
276,8,2025-11-05,1266,75,48.78,5,2025-11-05T22:58:00Z
277,8,2025-11-06,2211,53,28.62,0,2025-11-06T05:57:00Z
278,8,2025-11-07,3121,128,60.53,10,2025-11-07T10:42:00Z
279,8,2025-11-08,1623,96,107.52,3,2025-11-08T09:54:00Z
280,8,2025-11-09,845,50,82.41,3,2025-11-09T11:32:00Z
281,8,2025-11-10,1118,20,12.63,0,2025-11-10T15:01:00Z
282,8,2025-11-11,1678,81,70.18,7,2025-11-11T17:08:00Z
283,8,2025-11-12,2706,194,85.76,9,2025-11-12T22:46:00Z
284,8,2025-11-13,2160,101,144.11,9,2025-11-13T02:08:00Z
285,8,2025-11-14,1498,82,80.36,6,2025-11-14T11:08:00Z
286,8,2025-11-15,3796,258,289.43,18,2025-11-15T04:27:00Z
287,8,2025-11-16,2259,166,70.98,2,2025-11-16T04:19:00Z
288,8,2025-11-17,874,18,29.86,0,2025-11-17T16:57:00Z
289,8,2025-11-18,1363,94,65.88,7,2025-11-18T17:17:00Z
290,8,2025-11-19,712,38,45.99,0,2025-11-19T20:10:00Z
291,8,2025-11-20,2624,199,112.61,15,2025-11-20T23:57:00Z
292,8,2025-11-21,2678,90,147.92,0,2025-11-21T00:05:00Z
293,8,2025-11-22,386,29,41.45,0,2025-11-22T06:49:00Z
294,8,2025-11-23,2543,99,123.21,5,2025-11-23T20:34:00Z
295,8,2025-11-24,1386,76,58.74,2,2025-11-24T21:25:00Z
296,8,2025-11-25,1418,59,77.53,1,2025-11-25T13:30:00Z
297,8,2025-11-26,2102,51,61.17,1,2025-11-26T22:20:00Z
298,8,2025-11-27,3207,253,210.88,12,2025-11-27T11:32:00Z
299,8,2025-11-28,2500,43,29.6,0,2025-11-28T14:15:00Z
300,8,2025-11-29,777,13,9.83,0,2025-11-29T19:26:00Z
301,8,2025-11-30,1216,94,151.64,9,2025-11-30T18:46:00Z
302,8,2025-12-01,1480,34,19.48,4,2025-12-01T14:31:00Z
303,9,2025-10-02,1645,22,16.37,1,2025-10-02T20:43:00Z
304,9,2025-10-03,2127,63,22.77,0,2025-10-03T04:56:00Z
305,9,2025-10-04,1283,78,110.71,3,2025-10-04T12:03:00Z
306,9,2025-10-05,2535,125,107.19,4,2025-10-05T12:32:00Z
307,9,2025-10-06,2044,129,95.67,15,2025-10-06T21:39:00Z
308,9,2025-10-07,686,13,6.31,0,2025-10-07T10:35:00Z
309,9,2025-10-08,1697,106,66.64,6,2025-10-08T16:02:00Z
310,9,2025-10-09,385,4,5.4,0,2025-10-09T16:29:00Z
311,9,2025-10-10,810,42,45.01,1,2025-10-10T19:20:00Z
312,9,2025-10-11,865,32,38.82,3,2025-10-11T18:21:00Z
313,9,2025-10-12,2277,154,168.67,13,2025-10-12T09:30:00Z
314,9,2025-10-13,3541,39,31.74,0,2025-10-13T13:37:00Z
315,9,2025-10-14,1460,96,131.08,7,2025-10-14T00:38:00Z
316,9,2025-10-15,2143,61,77.34,7,2025-10-15T18:36:00Z
317,9,2025-10-16,1132,68,79.35,1,2025-10-16T20:46:00Z
318,9,2025-10-17,2738,175,154.4,17,2025-10-17T07:02:00Z
319,9,2025-10-18,2545,194,97.75,0,2025-10-18T10:26:00Z
320,9,2025-10-19,820,31,19.7,1,2025-10-19T19:58:00Z
321,9,2025-10-20,2131,151,208.41,1,2025-10-20T04:33:00Z
322,9,2025-10-21,1049,51,89.12,2,2025-10-21T12:20:00Z
323,9,2025-10-22,909,38,41.66,2,2025-10-22T21:49:00Z
324,9,2025-10-23,3753,226,282.64,18,2025-10-23T19:30:00Z
325,9,2025-10-24,987,76,56.29,2,2025-10-24T09:49:00Z
326,9,2025-10-25,1383,82,107.94,4,2025-10-25T15:22:00Z
327,9,2025-10-26,2495,188,275.15,6,2025-10-26T03:36:00Z
328,9,2025-10-27,2971,142,227.78,6,2025-10-27T11:49:00Z
329,9,2025-10-28,3495,70,28.62,8,2025-10-28T02:22:00Z
330,9,2025-10-29,3984,163,115.57,9,2025-10-29T06:52:00Z
331,9,2025-10-30,2406,69,78.44,2,2025-10-30T03:39:00Z
332,9,2025-10-31,3234,165,113.76,13,2025-10-31T16:14:00Z
333,9,2025-11-01,2813,73,35.79,2,2025-11-01T15:06:00Z
334,9,2025-11-02,2990,191,68.24,12,2025-11-02T05:26:00Z
335,9,2025-11-03,2874,216,341.23,12,2025-11-03T06:48:00Z
336,9,2025-11-04,1376,44,55.19,4,2025-11-04T02:41:00Z
337,9,2025-11-05,2551,66,91.35,6,2025-11-05T01:58:00Z
338,9,2025-11-06,3974,88,139.49,1,2025-11-06T01:53:00Z
339,9,2025-11-07,1826,118,72.08,10,2025-11-07T09:56:00Z
340,9,2025-11-08,353,3,3.44,0,2025-11-08T10:18:00Z
341,9,2025-11-09,2061,163,181.03,9,2025-11-09T04:54:00Z
342,9,2025-11-10,2265,96,59.51,1,2025-11-10T05:46:00Z
343,9,2025-11-11,2079,115,155.94,0,2025-11-11T10:50:00Z
344,9,2025-11-12,1408,70,98.71,1,2025-11-12T20:57:00Z
345,9,2025-11-13,1860,126,135.0,1,2025-11-13T21:06:00Z
346,10,2025-11-05,1216,12,10.64,0,2025-11-05T08:21:00Z
347,10,2025-11-06,1436,72,82.95,2,2025-11-06T11:44:00Z
348,10,2025-11-07,1167,16,8.25,0,2025-11-07T12:43:00Z
349,10,2025-11-08,2258,168,267.61,15,2025-11-08T22:07:00Z
350,10,2025-11-09,2816,208,158.71,15,2025-11-09T07:08:00Z
351,10,2025-11-10,2158,44,61.46,3,2025-11-10T13:44:00Z
352,10,2025-11-11,2449,180,253.85,17,2025-11-11T06:48:00Z
353,10,2025-11-12,1213,69,81.71,6,2025-11-12T16:28:00Z
354,10,2025-11-13,2363,140,64.31,9,2025-11-13T01:53:00Z
355,10,2025-11-14,2443,178,112.68,11,2025-11-14T05:20:00Z
356,10,2025-11-15,3699,171,87.68,4,2025-11-15T18:31:00Z
357,10,2025-11-16,572,41,39.92,0,2025-11-16T04:32:00Z
358,10,2025-11-17,1901,79,34.04,4,2025-11-17T09:46:00Z
359,10,2025-11-18,289,10,14.93,0,2025-11-18T18:04:00Z
360,10,2025-11-19,385,15,19.96,0,2025-11-19T01:59:00Z
361,10,2025-11-20,3862,57,94.47,0,2025-11-20T13:11:00Z
362,10,2025-11-21,3349,65,81.13,5,2025-11-21T13:23:00Z
363,10,2025-11-22,3850,141,221.01,15,2025-11-22T12:05:00Z
364,10,2025-11-23,2996,232,365.26,3,2025-11-23T11:07:00Z
365,10,2025-11-24,931,74,66.62,1,2025-11-24T07:53:00Z
366,10,2025-11-25,214,13,22.36,0,2025-11-25T23:34:00Z
367,10,2025-11-26,1937,91,136.75,2,2025-11-26T11:09:00Z
368,10,2025-11-27,1329,30,47.26,2,2025-11-27T01:51:00Z
369,10,2025-11-28,2904,114,162.16,12,2025-11-28T00:15:00Z
370,10,2025-11-29,1044,15,17.72,0,2025-11-29T21:45:00Z
371,10,2025-11-30,3772,50,69.34,2,2025-11-30T07:34:00Z
372,10,2025-12-01,1089,68,97.68,1,2025-12-01T09:14:00Z
373,10,2025-12-02,3541,262,303.02,18,2025-12-02T21:52:00Z
374,10,2025-12-03,1513,40,63.07,4,2025-12-03T16:14:00Z
375,10,2025-12-04,1893,58,25.25,6,2025-12-04T23:58:00Z
376,10,2025-12-05,917,49,46.46,2,2025-12-05T11:41:00Z
377,10,2025-12-06,2949,108,117.1,9,2025-12-06T13:09:00Z
378,10,2025-12-07,1428,51,71.72,2,2025-12-07T07:19:00Z
