id,user_id,order_date,status,currency_code,gclid,_fivetran_synced
27,34,2026-01-05,completed,GBP,,2026-01-05T03:12:00Z
28,9,2025-07-21,completed,GBP,gclid-5-jr8mtk0rso,2025-07-21T06:16:00Z
29,38,2025-10-19,completed,GBP,gclid-7-8r5p03wvpu,2025-10-19T11:57:00Z
30,34,2026-05-29,cancelled,GBP,,2026-05-29T00:07:00Z
31,24,2025-08-04,completed,GBP,,2025-08-04T10:07:00Z
32,21,2025-11-25,completed,GBP,,2025-11-25T17:04:00Z
33,5,2026-05-19,cancelled,GBP,,2026-05-19T20:26:00Z
34,27,2025-04-24,cancelled,GBP,gclid-15-glnukx496k,2025-04-24T12:02:00Z
35,26,2025-09-10,refunded,GBP,gclid-11-rbk9rx647d,2025-09-10T07:03:00Z
36,4,2026-01-01,cancelled,GBP,gclid-2-d8clw3jgeq,2026-01-01T04:20:00Z
37,31,2025-08-22,completed,GBP,gclid-9-1zm4ix4zcr,2025-08-22T06:00:00Z
38,21,2025-12-27,completed,GBP,,2025-12-27T09:45:00Z
39,33,2025-11-18,cancelled,GBP,gclid-13-gkfl5xf50i,2025-11-18T14:11:00Z
40,36,2025-08-14,completed,GBP,gclid-14-hopmpnbn7g,2025-08-14T06:25:00Z
41,4,2025-11-08,completed,GBP,,2025-11-08T03:14:00Z
42,18,2025-05-04,completed,GBP,gclid-13-od05jh2mkv,2025-05-04T23:00:00Z
43,16,2026-04-14,completed,GBP,gclid-3-flq8xpa95g,2026-04-14T00:38:00Z
44,19,2025-04-09,completed,GBP,,2025-04-09T16:32:00Z
45,29,2026-05-17,completed,GBP,,2026-05-17T11:34:00Z
46,22,2026-05-29,completed,GBP,,2026-05-29T21:54:00Z
47,2,2025-06-12,completed,GBP,gclid-14-m0g8w85y6q,2025-06-12T16:11:00Z
48,18,2026-01-27,completed,GBP,gclid-2-uz4e2u2mda,2026-01-27T21:09:00Z
49,19,2025-08-26,completed,GBP,gclid-2-h3eram4be5,2025-08-26T16:42:00Z
50,25,2026-05-21,completed,GBP,,2026-05-21T03:57:00Z
51,21,2025-11-10,completed,GBP,,2025-11-10T04:43:00Z
52,28,2025-10-10,refunded,GBP,gclid-15-ysymmq8q6a,2025-10-10T13:05:00Z
53,9,2026-04-22,refunded,GBP,,2026-04-22T00:29:00Z
54,4,2025-12-03,completed,GBP,gclid-2-zsu8e6xfwz,2025-12-03T00:51:00Z
55,7,2025-05-20,completed,GBP,,2025-05-20T16:28:00Z
56,29,2026-05-26,completed,GBP,,2026-05-26T19:07:00Z
57,13,2026-04-15,completed,GBP,,2026-04-15T09:18:00Z
58,10,2025-10-31,refunded,GBP,gclid-15-eoubxxq6mf,2025-10-31T23:29:00Z
59,34,2025-09-26,cancelled,GBP,,2025-09-26T02:11:00Z
60,20,2026-05-07,refunded,GBP,,2026-05-07T02:58:00Z
61,38,2025-06-06,completed,GBP,,2025-06-06T11:37:00Z
62,31,2025-05-25,completed,GBP,gclid-8-930i6g61pc,2025-05-25T19:16:00Z
63,2,2025-10-09,completed,GBP,,2025-10-09T10:06:00Z
64,15,2025-11-11,completed,GBP,gclid-6-pt2da8dbfa,2025-11-11T13:36:00Z
65,37,2025-07-07,refunded,GBP,,2025-07-07T16:22:00Z
66,6,2026-06-22,completed,GBP,gclid-10-drbta3k3om,2026-06-22T05:18:00Z
67,26,2026-02-07,completed,GBP,,2026-02-07T17:44:00Z
68,22,2025-07-14,completed,GBP,,2025-07-14T21:58:00Z
69,36,2026-02-08,cancelled,GBP,,2026-02-08T04:17:00Z
70,13,2025-04-29,completed,GBP,,2025-04-29T12:43:00Z
71,9,2026-03-26,completed,GBP,gclid-4-69ngpcivi0,2026-03-26T17:36:00Z
72,4,2026-05-22,completed,GBP,gclid-6-klv69eoxxc,2026-05-22T17:13:00Z
73,16,2026-01-08,completed,GBP,,2026-01-08T08:20:00Z
74,9,2025-08-22,completed,GBP,,2025-08-22T16:14:00Z
75,3,2026-05-23,refunded,GBP,,2026-05-23T22:28:00Z
76,6,2025-10-14,completed,GBP,gclid-13-r5nbhgpbkt,2025-10-14T11:59:00Z
77,38,2026-05-30,cancelled,GBP,gclid-1-m3pp00cdnz,2026-05-30T21:18:00Z
78,18,2025-04-08,completed,GBP,gclid-8-1kubjjjx1a,2025-04-08T09:36:00Z
79,31,2025-04-19,cancelled,GBP,,2025-04-19T17:13:00Z
80,18,2025-07-02,completed,GBP,gclid-16-ewfwbeby4u,2025-07-02T01:35:00Z
81,29,2025-05-26,completed,GBP,gclid-3-iln3ox5fl2,2025-05-26T10:26:00Z
82,21,2025-05-25,completed,GBP,,2025-05-25T23:32:00Z
83,15,2025-05-10,cancelled,GBP,,2025-05-10T18:40:00Z
84,34,2025-11-28,completed,GBP,,2025-11-28T08:12:00Z
85,27,2025-08-02,completed,GBP,,2025-08-02T11:35:00Z
86,9,2026-01-17,refunded,GBP,,2026-01-17T07:49:00Z
87,12,2026-05-01,completed,GBP,,2026-05-01T00:10:00Z
88,9,2025-11-27,completed,GBP,,2025-11-27T13:01:00Z
89,16,2025-10-23,completed,GBP,,2025-10-23T03:21:00Z
90,28,2025-10-27,completed,GBP,gclid-16-z00v3sfavy,2025-10-27T14:24:00Z
91,20,2026-05-01,completed,GBP,,2026-05-01T01:36:00Z
92,14,2025-04-22,refunded,GBP,,2025-04-22T08:36:00Z
93,7,2025-08-11,cancelled,GBP,,2025-08-11T21:17:00Z
94,3,2025-06-26,completed,GBP,,2025-06-26T17:34:00Z
95,8,2025-11-19,completed,GBP,,2025-11-19T03:28:00Z
96,33,2025-05-09,completed,GBP,gclid-15-ws1zl7p72l,2025-05-09T17:42:00Z
97,32,2025-08-14,completed,GBP,,2025-08-14T23:31:00Z
98,14,2026-06-13,completed,GBP,gclid-3-rwzbywwimt,2026-06-13T05:56:00Z
99,26,2025-12-07,refunded,GBP,,2025-12-07T17:30:00Z
100,28,2025-11-15,completed,GBP,gclid-15-8xmoe545vy,2025-11-15T00:18:00Z
101,17,2026-01-13,refunded,GBP,,2026-01-13T13:25:00Z
102,11,2025-07-23,completed,GBP,,2025-07-23T20:07:00Z
103,14,2026-03-02,completed,GBP,,2026-03-02T06:10:00Z
104,2,2025-04-07,completed,GBP,,2025-04-07T16:06:00Z
105,18,2026-03-19,completed,GBP,,2026-03-19T12:41:00Z
106,27,2026-03-27,refunded,GBP,gclid-5-dvo342p0kq,2026-03-27T03:16:00Z
107,24,2026-04-08,completed,GBP,,2026-04-08T22:06:00Z
108,22,2025-05-26,completed,GBP,gclid-3-dg5rifwr0u,2025-05-26T07:03:00Z
109,36,2026-03-20,completed,GBP,,2026-03-20T17:31:00Z
110,6,2025-12-04,completed,GBP,,2025-12-04T13:44:00Z
111,13,2026-04-19,completed,GBP,,2026-04-19T03:02:00Z
112,18,2025-08-29,completed,GBP,,2025-08-29T19:56:00Z
113,17,2025-10-08,completed,GBP,,2025-10-08T06:59:00Z
114,31,2025-12-25,completed,GBP,gclid-14-gq9azhdqdw,2025-12-25T19:10:00Z
115,13,2026-02-16,completed,GBP,gclid-14-vlwojtxcf0,2026-02-16T08:11:00Z
116,22,2026-02-25,refunded,GBP,,2026-02-25T18:38:00Z
117,1,2025-11-29,completed,GBP,,2025-11-29T06:05:00Z
118,36,2026-04-25,completed,GBP,,2026-04-25T12:45:00Z
119,10,2026-02-19,refunded,GBP,,2026-02-19T17:28:00Z
120,30,2025-04-13,cancelled,GBP,,2025-04-13T11:46:00Z
121,34,2025-07-10,completed,GBP,gclid-10-l66sajxxo9,2025-07-10T22:16:00Z
122,39,2026-04-03,cancelled,GBP,,2026-04-03T15:11:00Z
123,12,2026-04-01,completed,GBP,,2026-04-01T04:05:00Z
124,13,2026-01-04,completed,GBP,,2026-01-04T23:01:00Z
125,38,2026-03-30,completed,GBP,,2026-03-30T11:33:00Z
126,33,2025-05-02,completed,GBP,gclid-9-dpjhsg04aj,2025-05-02T11:07:00Z
127,6,2025-11-24,completed,GBP,gclid-3-gv812hnc0i,2025-11-24T21:41:00Z
128,19,2026-06-27,completed,GBP,gclid-15-jrumxqw3b4,2026-06-27T12:09:00Z
129,33,2025-09-23,completed,GBP,,2025-09-23T23:50:00Z
130,8,2025-11-26,completed,GBP,,2025-11-26T20:11:00Z
131,23,2026-03-26,completed,GBP,,2026-03-26T00:10:00Z
132,2,2026-01-05,completed,GBP,,2026-01-05T19:29:00Z
133,26,2026-02-02,completed,GBP,gclid-8-16sp18obs7,2026-02-02T19:44:00Z
134,1,2025-10-20,completed,GBP,,2025-10-20T06:56:00Z
135,16,2025-07-14,completed,GBP,gclid-12-afdtohrnqi,2025-07-14T03:24:00Z
136,28,2025-09-15,cancelled,GBP,,2025-09-15T17:04:00Z
137,12,2025-07-23,cancelled,GBP,,2025-07-23T11:23:00Z
138,15,2025-10-21,cancelled,GBP,gclid-7-bkdngflyrj,2025-10-21T13:11:00Z
139,7,2026-05-18,completed,GBP,,2026-05-18T12:51:00Z
140,28,2026-04-30,completed,GBP,gclid-4-v2qnrmtn29,2026-04-30T17:48:00Z
141,30,2025-12-20,refunded,GBP,,2025-12-20T14:18:00Z
142,24,2026-06-30,completed,GBP,gclid-11-y1ajkpqkbe,2026-06-30T23:02:00Z
143,18,2025-12-09,completed,GBP,gclid-15-yi340sqcnf,2025-12-09T23:40:00Z
144,6,2025-08-10,completed,GBP,,2025-08-10T13:07:00Z
145,28,2025-07-20,refunded,GBP,gclid-6-jyv6yjoaoe,2025-07-20T08:29:00Z
146,39,2026-02-08,completed,GBP,,2026-02-08T18:26:00Z
147,10,2025-09-25,refunded,GBP,,2025-09-25T23:31:00Z
148,37,2025-10-24,completed,GBP,,2025-10-24T20:31:00Z
149,10,2026-03-12,completed,GBP,,2026-03-12T05:39:00Z
150,9,2025-10-10,cancelled,GBP,,2025-10-10T03:06:00Z
