id,order_id,product_id,quantity,unit_price,_fivetran_synced
172,84,13,2,24.99,2025-11-28T11:14:00Z
173,84,8,1,14.99,2025-11-28T03:44:00Z
174,85,15,1,17.99,2025-08-02T15:38:00Z
175,85,4,1,54.99,2025-08-02T13:14:00Z
176,86,11,1,69.99,2026-01-17T04:38:00Z
177,86,5,2,79.99,2026-01-17T10:20:00Z
178,86,2,1,64.99,2026-01-17T13:32:00Z
179,86,3,1,89.99,2026-01-17T20:56:00Z
180,87,5,2,79.99,2026-05-01T22:59:00Z
181,88,2,1,64.99,2025-11-27T16:58:00Z
182,88,7,2,44.99,2025-11-27T11:08:00Z
183,89,15,1,17.99,2025-10-23T19:39:00Z
184,89,2,3,64.99,2025-10-23T01:04:00Z
185,89,12,2,34.99,2025-10-23T14:58:00Z
186,90,3,1,89.99,2025-10-27T18:17:00Z
187,91,9,1,29.99,2026-05-01T13:18:00Z
188,91,6,1,119.99,2026-05-01T05:09:00Z
189,92,6,1,119.99,2025-04-22T09:10:00Z
190,92,2,1,64.99,2025-04-22T15:28:00Z
191,92,4,2,54.99,2025-04-22T09:58:00Z
192,93,4,1,54.99,2025-08-11T16:48:00Z
193,94,1,1,19.99,2025-06-26T00:23:00Z
194,94,4,1,54.99,2025-06-26T18:27:00Z
195,94,12,1,34.99,2025-06-26T04:53:00Z
196,95,8,1,14.99,2025-11-19T04:17:00Z
197,95,12,1,34.99,2025-11-19T11:51:00Z
198,95,2,2,64.99,2025-11-19T07:46:00Z
199,96,11,1,69.99,2025-05-09T20:40:00Z
200,96,1,1,19.99,2025-05-09T18:24:00Z
201,96,14,2,39.99,2025-05-09T21:12:00Z
202,97,4,1,54.99,2025-08-14T02:33:00Z
203,98,4,2,54.99,2026-06-13T21:31:00Z
204,99,4,1,54.99,2025-12-07T09:26:00Z
205,100,4,2,54.99,2025-11-15T13:03:00Z
206,101,7,1,44.99,2026-01-13T01:17:00Z
207,101,8,2,14.99,2026-01-13T10:40:00Z
208,101,14,1,39.99,2026-01-13T14:26:00Z
209,102,10,1,49.99,2025-07-23T04:38:00Z
210,102,9,1,29.99,2025-07-23T23:01:00Z
211,102,13,1,24.99,2025-07-23T22:21:00Z
212,102,15,1,17.99,2025-07-23T17:04:00Z
213,103,7,2,44.99,2026-03-02T07:18:00Z
214,103,13,1,24.99,2026-03-02T11:21:00Z
215,103,7,1,44.99,2026-03-02T23:15:00Z
216,104,13,1,24.99,2025-04-07T05:18:00Z
217,104,5,1,79.99,2025-04-07T20:49:00Z
218,105,14,2,39.99,2026-03-19T08:55:00Z
219,105,2,1,64.99,2026-03-19T16:46:00Z
220,106,10,1,49.99,2026-03-27T09:27:00Z
221,106,2,1,64.99,2026-03-27T13:35:00Z
222,106,5,1,79.99,2026-03-27T22:34:00Z
223,106,9,1,29.99,2026-03-27T00:31:00Z
224,107,10,3,49.99,2026-04-08T12:49:00Z
225,107,4,1,54.99,2026-04-08T15:36:00Z
226,108,5,1,79.99,2025-05-26T23:21:00Z
227,108,14,1,39.99,2025-05-26T10:44:00Z
228,108,10,1,49.99,2025-05-26T00:17:00Z
229,109,11,1,69.99,2026-03-20T14:45:00Z
230,110,3,2,89.99,2025-12-04T05:33:00Z
231,111,8,1,14.99,2026-04-19T16:31:00Z
232,111,3,2,89.99,2026-04-19T17:26:00Z
233,111,7,1,44.99,2026-04-19T03:27:00Z
234,112,11,1,69.99,2025-08-29T09:33:00Z
235,112,11,1,69.99,2025-08-29T19:45:00Z
236,113,12,2,34.99,2025-10-08T04:10:00Z
237,114,11,1,69.99,2025-12-25T07:22:00Z
238,115,2,1,64.99,2026-02-16T16:37:00Z
239,116,13,2,24.99,2026-02-25T19:42:00Z
240,117,10,1,49.99,2025-11-29T05:30:00Z
241,117,14,1,39.99,2025-11-29T02:57:00Z
242,117,1,1,19.99,2025-11-29T14:27:00Z
243,117,11,1,69.99,2025-11-29T09:32:00Z
244,118,5,2,79.99,2026-04-25T10:33:00Z
245,118,2,2,64.99,2026-04-25T06:10:00Z
246,119,13,1,24.99,2026-02-19T03:35:00Z
247,119,15,1,17.99,2026-02-19T11:11:00Z
248,120,10,1,49.99,2025-04-13T06:24:00Z
249,120,6,1,119.99,2025-04-13T23:00:00Z
250,121,1,3,19.99,2025-07-10T00:55:00Z
251,122,14,1,39.99,2026-04-03T17:51:00Z
252,122,2,1,64.99,2026-04-03T00:39:00Z
253,123,14,1,39.99,2026-04-01T14:40:00Z
254,123,12,1,34.99,2026-04-01T03:54:00Z
255,124,11,2,69.99,2026-01-04T10:57:00Z
256,125,11,1,69.99,2026-03-30T21:42:00Z
257,126,10,2,49.99,2025-05-02T02:36:00Z
258,127,14,1,39.99,2025-11-24T23:08:00Z
259,127,5,1,79.99,2025-11-24T22:18:00Z
260,127,3,1,89.99,2025-11-24T18:20:00Z
261,127,7,1,44.99,2025-11-24T06:17:00Z
262,128,4,3,54.99,2026-06-27T13:22:00Z
263,128,11,2,69.99,2026-06-27T09:13:00Z
264,129,9,2,29.99,2025-09-23T08:13:00Z
265,130,8,1,14.99,2025-11-26T11:36:00Z
266,130,7,1,44.99,2025-11-26T01:20:00Z
267,131,6,1,119.99,2026-03-26T03:11:00Z
268,131,15,1,17.99,2026-03-26T05:29:00Z
269,132,12,1,34.99,2026-01-05T12:30:00Z
270,132,14,1,39.99,2026-01-05T23:23:00Z
271,133,4,3,54.99,2026-02-02T18:48:00Z
272,133,3,1,89.99,2026-02-02T10:50:00Z
273,133,1,3,19.99,2026-02-02T09:50:00Z
274,133,13,1,24.99,2026-02-02T11:29:00Z
275,134,5,1,79.99,2025-10-20T07:54:00Z
276,135,13,2,24.99,2025-07-14T12:49:00Z
277,136,11,2,69.99,2025-09-15T18:01:00Z
278,137,14,1,39.99,2025-07-23T19:48:00Z
279,138,11,1,69.99,2025-10-21T03:29:00Z
280,139,3,1,89.99,2026-05-18T18:32:00Z
281,139,7,1,44.99,2026-05-18T00:31:00Z
282,139,11,3,69.99,2026-05-18T12:27:00Z
283,140,11,1,69.99,2026-04-30T00:21:00Z
284,140,15,2,17.99,2026-04-30T08:12:00Z
285,141,14,1,39.99,2025-12-20T11:03:00Z
286,142,7,1,44.99,2026-06-30T02:34:00Z
287,142,2,1,64.99,2026-06-30T04:40:00Z
288,143,2,1,64.99,2025-12-09T23:05:00Z
289,143,6,2,119.99,2025-12-09T23:19:00Z
290,143,7,1,44.99,2025-12-09T05:47:00Z
291,144,10,1,49.99,2025-08-10T09:39:00Z
292,144,9,1,29.99,2025-08-10T07:44:00Z
293,144,13,1,24.99,2025-08-10T18:30:00Z
294,145,11,1,69.99,2025-07-20T07:14:00Z
295,145,1,2,19.99,2025-07-20T07:04:00Z
296,146,6,1,119.99,2026-02-08T15:59:00Z
297,146,9,1,29.99,2026-02-08T10:20:00Z
298,147,12,1,34.99,2025-09-25T12:16:00Z
299,148,6,1,119.99,2025-10-24T23:33:00Z
300,148,6,1,119.99,2025-10-24T10:28:00Z
301,149,7,1,44.99,2026-03-12T00:48:00Z
302,149,5,1,79.99,2026-03-12T15:15:00Z
303,150,4,3,54.99,2025-10-10T18:18:00Z
304,150,3,2,89.99,2025-10-10T23:25:00Z
