id,order_id,amount,currency,status,created_at,_fivetran_synced
pi_000037,45,17.83,eur,succeeded,2026-05-17,2026-05-17T07:11:00Z
pi_000038,46,446.37,eur,succeeded,2026-05-29,2026-05-29T15:59:00Z
pi_000039,47,121.43,cad,succeeded,2025-06-12,2025-06-12T22:58:00Z
pi_000040,48,232.77,aud,succeeded,2026-01-27,2026-01-27T06:20:00Z
pi_000041,49,245.32,eur,succeeded,2025-08-26,2025-08-26T04:18:00Z
pi_000042,50,92.78,eur,succeeded,2026-05-21,2026-05-21T02:57:00Z
pi_000043,51,305.81,cad,succeeded,2025-11-10,2025-11-10T00:13:00Z
pi_000044,52,253.65,cad,succeeded,2025-10-10,2025-10-10T18:29:00Z
pi_000045,53,226.74,usd,succeeded,2026-04-22,2026-04-22T14:15:00Z
pi_000046,54,216.28,cad,succeeded,2025-12-03,2025-12-03T20:07:00Z
pi_000047,55,232.65,eur,succeeded,2025-05-20,2025-05-20T19:53:00Z
pi_000048,56,122.25,eur,succeeded,2026-05-26,2026-05-26T10:55:00Z
pi_000049,57,110.98,eur,succeeded,2026-04-15,2026-04-15T05:15:00Z
pi_000050,58,104.36,eur,succeeded,2025-10-31,2025-10-31T14:46:00Z
pi_000051,60,167.43,eur,succeeded,2026-05-07,2026-05-07T21:43:00Z
pi_000052,61,135.97,cad,succeeded,2025-06-06,2025-06-06T12:04:00Z
pi_000053,62,92.94,eur,succeeded,2025-05-25,2025-05-25T13:16:00Z
pi_000054,63,127.63,cad,succeeded,2025-10-09,2025-10-09T22:34:00Z
pi_000055,64,118.39,eur,succeeded,2025-11-11,2025-11-11T03:45:00Z
pi_000056,65,96.64,eur,succeeded,2025-07-07,2025-07-07T19:41:00Z
pi_000057,66,59.41,eur,succeeded,2026-06-22,2026-06-22T15:52:00Z
pi_000058,67,144.52,eur,succeeded,2026-02-07,2026-02-07T23:03:00Z
pi_000059,68,338.49,eur,succeeded,2025-07-14,2025-07-14T09:51:00Z
pi_000060,70,51.9,eur,succeeded,2025-04-29,2025-04-29T12:53:00Z
pi_000061,71,31.47,usd,succeeded,2026-03-26,2026-03-26T23:49:00Z
pi_000062,72,179.01,cad,succeeded,2026-05-22,2026-05-22T01:23:00Z
pi_000063,73,140.56,eur,succeeded,2026-01-08,2026-01-08T12:45:00Z
pi_000064,74,38.63,usd,succeeded,2025-08-22,2025-08-22T16:40:00Z
pi_000065,75,106.26,usd,succeeded,2026-05-23,2026-05-23T20:28:00Z
pi_000066,76,116.82,eur,succeeded,2025-10-14,2025-10-14T08:48:00Z
pi_000067,78,105.62,aud,succeeded,2025-04-08,2025-04-08T18:48:00Z
pi_000068,80,221.2,aud,succeeded,2025-07-02,2025-07-02T03:46:00Z
pi_000069,81,184.41,eur,succeeded,2025-05-26,2025-05-26T05:23:00Z
pi_000070,82,286.54,cad,succeeded,2025-05-25,2025-05-25T13:42:00Z
pi_000071,84,267.44,eur,succeeded,2025-11-28,2025-11-28T10:09:00Z
pi_000072,85,84.97,eur,succeeded,2025-08-02,2025-08-02T07:50:00Z
pi_000073,86,496.55,usd,succeeded,2026-01-17,2026-01-17T15:13:00Z
pi_000074,87,186.18,eur,succeeded,2026-05-01,2026-05-01T22:04:00Z
pi_000075,88,197.91,usd,succeeded,2025-11-27,2025-11-27T14:57:00Z
pi_000076,89,326.46,eur,succeeded,2025-10-23,2025-10-23T22:31:00Z
pi_000077,90,155.15,cad,succeeded,2025-10-27,2025-10-27T07:48:00Z
pi_000078,91,174.55,eur,succeeded,2026-05-01,2026-05-01T08:21:00Z
pi_000079,92,339.65,eur,succeeded,2025-04-22,2025-04-22T09:44:00Z
pi_000080,94,141.38,usd,succeeded,2025-06-26,2025-06-26T08:36:00Z
pi_000081,95,210.88,eur,succeeded,2025-11-19,2025-11-19T08:38:00Z
pi_000082,96,199.41,eur,succeeded,2025-05-09,2025-05-09T01:48:00Z
pi_000083,97,69.16,usd,succeeded,2025-08-14,2025-08-14T04:09:00Z
pi_000084,98,127.1,eur,succeeded,2026-06-13,2026-06-13T16:18:00Z
pi_000085,99,65.21,eur,succeeded,2025-12-07,2025-12-07T00:14:00Z
pi_000086,100,189.97,cad,succeeded,2025-11-15,2025-11-15T09:19:00Z
pi_000087,101,132.25,eur,succeeded,2026-01-13,2026-01-13T22:10:00Z
pi_000088,102,141.51,eur,succeeded,2025-07-23,2025-07-23T22:28:00Z
pi_000089,103,185.38,eur,succeeded,2026-03-02,2026-03-02T21:18:00Z
pi_000090,104,178.61,cad,succeeded,2025-04-07,2025-04-07T04:47:00Z
pi_000091,105,278.59,aud,succeeded,2026-03-19,2026-03-19T22:08:00Z
pi_000092,106,265.12,eur,succeeded,2026-03-27,2026-03-27T04:38:00Z
pi_000093,107,204.96,gbp,succeeded,2026-04-08,2026-04-08T07:01:00Z
pi_000094,108,198.42,eur,succeeded,2025-05-26,2025-05-26T06:37:00Z
pi_000095,109,82.13,eur,succeeded,2026-03-20,2026-03-20T09:09:00Z
pi_000096,110,207.62,eur,succeeded,2025-12-04,2025-12-04T18:00:00Z
pi_000097,111,282.79,eur,succeeded,2026-04-19,2026-04-19T08:23:00Z
pi_000098,112,271.65,aud,succeeded,2025-08-29,2025-08-29T23:32:00Z
pi_000099,113,81.35,eur,succeeded,2025-10-08,2025-10-08T23:55:00Z
pi_000100,114,81.03,eur,succeeded,2025-12-25,2025-12-25T16:25:00Z
pi_000101,115,76.13,eur,succeeded,2026-02-16,2026-02-16T15:39:00Z
pi_000102,116,58.81,eur,succeeded,2026-02-25,2026-02-25T05:22:00Z
pi_000103,117,208.48,eur,succeeded,2025-11-29,2025-11-29T16:20:00Z
pi_000104,118,343.92,eur,succeeded,2026-04-25,2026-04-25T16:23:00Z
pi_000105,119,50.99,eur,succeeded,2026-02-19,2026-02-19T12:55:00Z
pi_000106,121,69.26,eur,succeeded,2025-07-10,2025-07-10T16:30:00Z
pi_000107,123,87.91,eur,succeeded,2026-04-01,2026-04-01T05:30:00Z
pi_000108,124,165.19,eur,succeeded,2026-01-04,2026-01-04T12:00:00Z
pi_000109,125,120.84,cad,succeeded,2026-03-30,2026-03-30T21:04:00Z
pi_000110,126,117.84,eur,succeeded,2025-05-02,2025-05-02T10:14:00Z
pi_000111,127,298.63,eur,succeeded,2025-11-24,2025-11-24T09:13:00Z
pi_000112,128,360.79,eur,succeeded,2026-06-27,2026-06-27T07:09:00Z
pi_000113,129,69.14,eur,succeeded,2025-09-23,2025-09-23T08:38:00Z
pi_000114,130,70.96,eur,succeeded,2025-11-26,2025-11-26T23:50:00Z
pi_000115,131,162.76,eur,succeeded,2026-03-26,2026-03-26T03:41:00Z
pi_000116,132,129.81,cad,succeeded,2026-01-05,2026-01-05T06:22:00Z
pi_000117,133,392.81,eur,succeeded,2026-02-02,2026-02-02T15:29:00Z
pi_000118,134,92.28,eur,succeeded,2025-10-20,2025-10-20T18:58:00Z
pi_000119,135,59.37,eur,succeeded,2025-07-14,2025-07-14T20:58:00Z
pi_000120,139,406.7,eur,succeeded,2026-05-18,2026-05-18T00:53:00Z
pi_000121,140,183.82,cad,succeeded,2026-04-30,2026-04-30T23:54:00Z
pi_000122,141,46.26,eur,succeeded,2025-12-20,2025-12-20T16:57:00Z
pi_000123,142,109.98,gbp,succeeded,2026-06-30,2026-06-30T21:02:00Z
pi_000124,143,676.02,aud,succeeded,2025-12-09,2025-12-09T12:40:00Z
pi_000125,144,122.52,eur,succeeded,2025-08-10,2025-08-10T03:21:00Z
pi_000126,145,189.04,cad,succeeded,2025-07-20,2025-07-20T16:04:00Z
pi_000127,146,149.98,gbp,succeeded,2026-02-08,2026-02-08T23:34:00Z
pi_000128,147,40.59,eur,succeeded,2025-09-25,2025-09-25T02:51:00Z
pi_000129,148,282.34,eur,succeeded,2025-10-24,2025-10-24T07:15:00Z
pi_000130,149,147.26,eur,succeeded,2026-03-12,2026-03-12T08:51:00Z
